,Group,variable,allmean,sd1,n1,se1,Order
1,L,OTU_122,160.3888889,679.9734544,18,160.2712802,Clostridiales
2,L,OTU_271,135.0555556,572.4931515,18,134.9379299,Erysipelotrichales
3,L,OTU_169,127.4444444,412.4814751,18,97.22281606,Clostridiales
4,L,OTU_162,117.3333333,497.3042624,18,117.2157388,Bacteroidales
5,L,OTU_149,116,492.1463197,18,116,Clostridiales
6,L,OTU_182,102.9444444,433.2637388,18,102.1212426,Bacteroidales
7,L,OTU_244,59.11111111,222.3251167,18,52.40253255,Bacteroidales
8,L,OTU_386,59.05555556,249.0552672,18,58.70288945,Bacteroidales
9,L,OTU_320,51.77777778,207.2925059,18,48.85931221,Lactobacillales
10,L,OTU_493,47.27777778,106.4114133,18,25.08141066,Bacteroidales
11,L,OTU_432,43.72222222,185.2482613,18,43.66343391,Pseudomonadales
12,L,OTU_371,41.83333333,135.4952788,18,31.9365435,Bacteroidales
13,L,OTU_399,41,154.6917238,18,36.46118896,Clostridiales
14,L,OTU_322,40.55555556,154.7309704,18,36.47043948,Rickettsiales
15,L,OTU_440,39.77777778,139.3892373,18,32.85435831,Bacteroidales
16,L,OTU_369,38.38888889,162.6208651,18,38.33010548,Corynebacteriales
17,L,OTU_362,37.5,154.4219773,18,36.39760909,Clostridiales
18,L,OTU_481,34.72222222,90.28243628,18,21.27977431,Bacteroidales
19,L,OTU_472,24.38888889,96.92758904,18,22.84605183,Pseudomonadales
20,L,OTU_790,23.94444444,25.31094212,18,5.96584627,Flavobacteriales
21,L,OTU_471,22.05555556,93.3245269,18,21.99680194,Cytophagales
22,L,OTU_448,21.94444444,93.10239286,18,21.94444444,Clostridiales
23,L,OTU_473,19.44444444,82.49579114,18,19.44444444,Sphingobacteriales
24,L,OTU_496,18.55555556,78.47534062,18,18.49681517,Oceanospirillales
25,L,OTU_596,17.33333333,53.10256447,18,12.51639448,Pseudomonadales
26,L,OTU_657,16,66.38922662,18,15.64809078,Lactobacillales
27,L,OTU_957,15.38888889,65.04038464,18,15.33016568,Clostridiales
28,L,OTU_669,15.16666667,64.09758186,18,15.10794493,Erysipelotrichales
29,L,OTU_778,14.66666667,14.52381412,18,3.423295817,Bacteroidales
30,L,OTU_588,14.61111111,58.55529201,18,13.80161468,Clostridiales
31,L,OTU_1057,13.66666667,56.49362275,18,13.31567458,Bacteroidales
32,L,OTU_654,13.11111111,55.12754077,18,12.99368597,Erysipelotrichales
33,L,OTU_867,12.83333333,54.44722215,18,12.83333333,Sphingobacteriales
34,L,OTU_709,12.05555556,46.02872789,18,10.84907521,Clostridiales
35,L,OTU_649,11.88888889,45.57719875,18,10.74264877,Bacteroidales
36,L,OTU_910,11.66666667,47.53821992,18,11.20486589,Mollicutes_RF9
37,L,OTU_658,11,46.66904756,18,11,Clostridiales
38,L,OTU_737,10.88888889,44.95342543,18,10.59562399,Clostridiales
39,L,OTU_746,10.88888889,42.58125642,18,10.03649839,Erysipelotrichales
40,L,OTU_706,10.5,44.54772721,18,10.5,Clostridiales
41,L,OTU_707,10.44444444,44.31202495,18,10.44444444,Clostridiales
42,L,OTU_703,10.22222222,42.8712924,18,10.10486053,Bacteroidales
43,L,OTU_731,10.22222222,43.12029078,18,10.16355001,Clostridiales
44,L,OTU_738,9.777777778,41.48359783,18,9.777777778,Bacteroidales
45,L,OTU_789,9.666666667,35.68489547,18,8.411010524,Clostridiales
46,L,OTU_870,9.611111111,31.43646981,18,7.409646993,Clostridiales
47,L,OTU_791,9.444444444,32.56165595,18,7.674855909,Clostridiales
48,L,OTU_1054,9.333333333,36.91325284,18,8.700537133,Clostridiales
49,L,OTU_955,9.277777778,28.71319753,18,6.767765561,Bacteroidales
50,L,OTU_1172,9.111111111,10.68197431,18,2.51776549,Rhodobacterales
51,L,OTU_803,8.611111111,35.29062347,18,8.318079722,Clostridiales
52,L,OTU_1173,8.5,9.332107763,18,2.199598894,Rhodobacterales
53,L,OTU_938,8.388888889,34.59537352,18,8.154207739,Clostridiales
