"","DS1_L_1","DS1_L_2","DS1_L_3","DS1_L_4","DS1_L_5","DS1_L_6","DS1_R_1","DS1_R_2","DS1_R_3","DS1_R_4","DS1_R_5","DS1_R_6","DS2_L_1","DS2_L_2","DS2_L_3","DS2_L_4","DS2_L_5","DS2_L_6","DS2_R_1","DS2_R_2","DS2_R_3","DS2_R_4","DS2_R_5","DS2_R_6","DS3_L_1","DS3_L_2","DS3_L_3","DS3_L_4","DS3_L_5","DS3_L_6","DS3_R_1","DS3_R_2","DS3_R_3","DS3_R_4","DS3_R_5","DS3_R_6"
"Acidimicrobiales",0.00450551926109484,0.00137082071035929,0,0,0.00159033078880407,0.00305068716728443,0.319898671689779,0.310469436574318,0.251581773463755,0.217107436716329,0.428265524625268,0.33697588215472,0.133143565492861,0,0,0.00148306341579166,0.00185209193784379,0,0.693413445583637,0.917347700260279,0.940280782808154,1.99662447257384,1.74499367869016,1.31509471322025,0,0,0,0,0,0,0.166701733374334,0.25787918849663,0.142901219531999,0.0880326397941391,0.146443154213256,0.0953483620513519
"Acidobacteriales",0.378463617931967,0.00411246213107788,0.00546142188118677,0.00468793949432759,0.00477099236641221,0.00762671791821108,16.0436491182488,14.5598289873267,17.0042994198599,14.3369570347529,16.3337412052615,9.72416117075049,1.05902698070183,0.0646601493341544,1.32216375750891,0.0889838049474996,0.0222251032541255,0.018322762508809,21.6163345152219,18.9803607506234,23.6257747555758,23.3738396624473,23.835240131733,20.9029106989638,0.00274378532623608,0.0125199972177784,0.00569127669564475,0.0208746477403194,0.00141207037758762,0.00353631798571328,9.53922346124589,16.429189312703,21.0032315162144,13.7567929032149,7.63916406801854,12.23864332902
"Aeromonadales",0.00300367950739656,0.00137082071035929,0.00136535547029669,0,0.00159033078880407,0,0.00811925562664415,0,0.00375495184274262,0.00314648459009172,0.00611807892321811,0.00481394117363886,0,0,0.00149060175592887,2.42332562140357,0,0,0.00349326672838105,0,0,0.00168776371308017,0.00312163448781782,0,0,0,0,0,0,0,0,0.0016321467626369,0.0016238774946818,0,0.00172286063780301,0.115780153919499
"Anaeroplasmatales",0,0,0,1.58139825608651,0,0,0.00162385112532883,0.00339310859644063,0,0.13687207966899,0,0,0,0,0,0,0.00185209193784379,0,0,0.00182013432591325,0,0,0,0,0,0,0,0.00173955397835995,0,0,0,0,0,0,0,0
"AT425-EubC11_terrestrial_group",0,0,0,0,0,0,0,0,0,0,0.0321199143468951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210400246006441,0,0.0016238774946818,0.00169293538065652,0.0189514670158331,0.00681059728938228
"Bacillales",1.72561387699932,0.0356413384693416,0.00136535547029669,1.86736256524049,0.987595419847328,0,0.295540904809847,0.400386814379994,0.328558286239979,0.567940468511555,0.397675130009177,0.194162294003434,0.159160124267328,0.0138557462858902,1.67841757717591,0.520555258942872,0.0370418387568759,0.00704721634954193,0.192129670060957,0.171092626635846,0.393681573424867,0.221097046413502,0.285629555635331,0.270609200712824,0.0178346046205345,14.2088057313765,10.0351436335956,0.104373238701597,0.337484820243441,2.73003748497065,0.281612636962468,0.21544337266807,0.204608564329907,0.192994633394843,0.632289854073704,0.204317918681468
"Bacteroidales",63.9528422317339,28.2279400677185,20.3260468863069,22.423977247867,47.1708015267176,35.1774737259568,0.133155792276964,0.977215275774901,0.375495184274262,1.02418073407485,1.07219333129397,1.87743705771915,57.8608267144147,46.4814102070664,62.2833037697318,43.2965533606217,48.3358953938474,49.2501761804087,1.37809372434632,1.03201616279281,0.67186152820029,1.03628691983122,1.01140957405297,1.91571513431457,49.2591779619163,0.969604228976838,12.7569967132877,0.739310440802978,3.19551526448078,0.777989956856921,1.99232848333792,0.811176941030537,0.678780792776993,0.738119825966243,0.880381785917337,0.805353129469454
"Bdellovibrionales",0,0,0,0,0,0,0.193238283914131,0.0729518348234735,0.0319170906633122,0.0409042996711924,0.122361578464362,0.154046117556443,0.0091823148615766,0.00307905473019783,0.00596240702371547,0.00444919024737498,0.00185209193784379,0,0.1659301695981,0.282120820516554,0.139903369068341,0.288607594936709,0.218514414147248,0.178206059006006,0.00960324864182626,0.00139111080197538,0,0,0.00847242226552571,24.8249522597072,0.0679754640943888,0.016321467626369,0.0341014273883178,0.130356024310552,0.124045965921817,0.105564257985425
"Bifidobacteriales",0.00450551926109484,0.00137082071035929,0.00273071094059338,0.375035159546207,0.00159033078880407,0.152534358364222,0.00649540450131532,0,0.00375495184274262,0.0078662114752293,0.00764759865402264,0.00160464705787962,0.0214254013436787,0.423370025402202,0.0283214333626485,0.185382926973957,0.0166688274405942,0,0.0139730669135242,0,0.00162678336125978,0.0185654008438819,0.00936490346345346,0.0132004488152597,0.00137189266311804,0.00834666481185226,0.00426845752173356,0.00173955397835995,0.00847242226552571,0.0176815899285664,0.0291323417547381,0.0179536143890059,0.016238774946818,0.0372445783744434,0.0241200489292421,0.0306476878022203
"Burkholderiales",1.90583464744312,9.46277536361019,34.2485766169222,7.32881207613214,2.61132315521629,8.84394209795756,17.436913383781,24.8646997947169,17.8341437771061,25.3103220426978,13.3618843683084,20.0837625764213,1.99409271077239,2.692633361558,4.38236916243087,5.66381918490835,0.216694756727724,6.37491190979563,11.4614081358182,7.20955206494239,9.87620178620813,3.56455696202532,3.59300129547831,5.01452049369679,1.64764308840476,35.3175210405509,14.6379636611983,0.864558327244894,23.352819904544,10.9714265506754,6.24403191609886,8.23907685779105,8.01708319124405,5.34628993211329,7.60470685526248,7.28052850234966
