"Pvalue","name","L_allmean","Order","R_allmean","v1","v2","FC","log2FC","log10FDR","Sig"
0.0177,"OTU_4",4136.833333,"Bacteroidales",49.66666667,4136.833333,49.66666667,83.2919462964233,6.38010509948263,-1.75202673363819,"Up"
0.000497,"OTU_12",1.888888889,"Xanthomonadales",3138.277778,1.888888889,3138.277778,0.000601887093055151,-10.698219499818,-3.30364361126667,"Down"
0.00857,"OTU_6",71.55555556,"Burkholderiales",2957.222222,71.55555556,2957.222222,0.0241968814611457,-5.36903506750021,-2.0670191780768,"Down"
0.00276,"OTU_3",2253.388889,"Burkholderiales",58.38888889,2253.388889,58.38888889,38.5927687927956,5.2702586469381,-2.55909091793478,"Up"
0.674,"OTU_1",982.2777778,"Burkholderiales",1300.444444,982.2777778,1300.444444,0.755340054957396,-0.40480180124337,-0.17134010346468,"no"
0.208,"OTU_2",2137.777778,"Pseudomonadales",113.3888889,2137.777778,113.3888889,18.8535031848257,4.23676071163328,-0.681936665037238,"no"
0.00921,"OTU_24",2211.166667,"Oceanospirillales",9.444444444,2211.166667,9.444444444,234.123529458076,7.87112612262979,-2.03574036980315,"Up"
7.92e-05,"OTU_10",2.277777778,"Acidobacteriales",1990.388889,2.277777778,1990.388889,0.00114438831053985,-9.7712076183549,-4.10127481841051,"Down"
3.68e-05,"OTU_44",1.611111111,"Acidobacteriales",1873.5,1.611111111,1873.5,0.000859947216973579,-10.1834642687434,-4.43415218132648,"Down"
6.38e-05,"OTU_9",0.666666667,"TRA3-20",1683.388889,0.666666667,1683.388889,0.000396026533949637,-11.3021152848124,-4.19517932127884,"Down"
0.12,"OTU_8",1667.444444,"Bacteroidales",16.55555556,1667.444444,16.55555556,100.718120751485,6.65417945967775,-0.920818753952375,"no"
5.45e-06,"OTU_830",1.222222222,"Xanthomonadales",1433.444444,1.222222222,1433.444444,0.000852647081730919,-10.195763658866,-5.26360349772336,"Down"
0.0183,"OTU_7",1311.111111,"Caulobacterales",95.44444444,1311.111111,95.44444444,13.7369033754942,3.77998491794302,-1.73754891026957,"Up"
1.37e-07,"OTU_311",50.55555556,"Acidobacteriales",1311.555556,50.55555556,1311.555556,0.0385462554969345,-4.697265470708,-6.86327943284359,"Down"
0.331,"OTU_19",1309.666667,"Clostridiales",0.944444444,1309.666667,0.944444444,1386.70588335845,10.4374461129756,-0.480172006224281,"no"
1.63e-05,"OTU_11",1,"Rhizobiales",1254.444444,1,1254.444444,0.000797165633586241,-10.2928328637069,-4.78781239559604,"Down"
0.000124,"OTU_35",4.166666667,"Rhizobiales",1236.5,4.166666667,1236.5,0.00336972637848767,-8.21315283522095,-3.90657831483776,"Down"
0.194,"OTU_18",1214.166667,"Bacteroidales",5.611111111,1214.166667,5.611111111,216.386138677552,7.75746427534588,-0.712198270069774,"no"
0.308,"OTU_15",1150.166667,"Burkholderiales",58.16666667,1150.166667,58.16666667,19.7736389730789,4.30550649176677,-0.511449283499556,"no"
0.0389,"OTU_16",1140.222222,"Rhizobiales",21.11111111,1140.222222,21.11111111,54.0105263081058,5.75516870165523,-1.41005039867429,"Up"
2.06e-06,"OTU_13",0.611111111,"Acidobacteriales",1135.666667,0.611111111,1135.666667,0.000538107816983238,-10.859817114866,-5.68613277963085,"Down"
0.0738,"OTU_54",1043.722222,"Clostridiales",86.5,1043.722222,86.5,12.0661528554913,3.59289385871636,-1.13194363817696,"no"
4.2e-06,"OTU_31",6.666666667,"Rhizobiales",1000.5,6.666666667,1000.5,0.00666333499950025,-7.2295398576674,-5.3767507096021,"Down"
0.157,"OTU_62",819.2777778,"Enterobacteriales",180.1666667,819.2777778,180.1666667,4.54733271590244,2.18502056599616,-0.804100347590766,"no"
0.0426,"OTU_60",937.3888889,"Pseudomonadales",7.277777778,937.3888889,7.277777778,128.801526715151,7.00900588393629,-1.37059040089728,"Up"
0.33,"OTU_14",936.6111111,"Sphingomonadales",0.888888889,936.6111111,0.888888889,1053.68749985579,10.0412313439934,-0.481486060122112,"no"
0.0259,"OTU_17",0.222222222,"Rhodobacterales",911.1666667,0.222222222,911.1666667,0.00024388756757842,-12.0014961624162,-1.58670023591875,"Down"
0.0653,"OTU_26",769.7777778,"Enterobacteriales",135.2222222,769.7777778,135.2222222,5.69268693618614,2.50910976229174,-1.18508681872493,"no"
0.00118,"OTU_20",0.388888889,"Sphingobacteriales",903.5,0.388888889,903.5,0.000430424890979524,-11.1819508698371,-2.92811799269387,"Down"
0.293,"OTU_25",834.6666667,"Burkholderiales",15.44444444,834.6666667,15.44444444,54.0431654853362,5.75604027540305,-0.533132379645891,"no"
4.1e-05,"OTU_212",15.44444444,"Acidobacteriales",815.5,15.44444444,815.5,0.0189386197915389,-5.72252499584585,-4.38721614328026,"Down"
0.0801,"OTU_22",811.3333333,"Rhodospirillales",7.944444444,811.3333333,7.944444444,102.125874127392,6.67420461667793,-1.09636748391576,"no"
0.33,"OTU_23",781.6666667,"Bdellovibrionales",0.222222222,781.6666667,0.222222222,3517.5000036675,11.7803347096281,-0.481486060122112,"no"
0.291,"OTU_33",737.8888889,"Clostridiales",5.388888889,737.8888889,5.388888889,136.927835050785,7.09727194102937,-0.536107011014093,"no"
0.353,"OTU_1515",465.5,"Enterobacteriales",217.3333333,465.5,217.3333333,2.14187116597268,1.09887170427014,-0.452225294612177,"no"
0.0648,"OTU_27",648.9444444,"Bacteroidales",22.55555556,648.9444444,22.55555556,28.7709359529515,4.84654024932286,-1.18842499412941,"no"
0.0753,"OTU_28",659.3888889,"Bacteroidales",2,659.3888889,2,329.69444445,8.36498576670731,-1.1232050237993,"no"
0.238,"OTU_36",650.4444444,"Bacteroidales",3.5,650.4444444,3.5,185.841269828571,7.53792710681026,-0.623423042943488,"no"
1.37e-08,"OTU_82",0.833333333,"Rhizobiales",622.8888889,0.833333333,622.8888889,0.00133785230054695,-9.54586543402679,-7.86327943284359,"Down"
0.166,"OTU_45",619,"Desulfovibrionales",1.222222222,619,1.222222222,506.454545546628,8.98428898228159,-0.779891911959945,"no"
0.00565,"OTU_29",0.5,"Rhodospirillales",609.1666667,0.5,609.1666667,0.000820793433607617,-10.2506931901976,-2.24795155218056,"Down"
0.331,"OTU_40",601.5,"Vibrionales",1.222222222,601.5,1.222222222,492.136363725843,8.9429143102434,-0.480172006224281,"no"
0.33,"OTU_38",594.6666667,"SC-I-84",0.166666667,594.6666667,0.166666667,3567.999993064,11.8008998971158,-0.481486060122112,"no"
0.016,"OTU_34",581.2777778,"Bacteroidales",10.5,581.2777778,10.5,55.3597883619048,5.79076652251131,-1.79588001734408,"Up"
