variable,L_allmean,name,R_allmean,Pvalue,Order
OTU_4,6.154710417,OTU_4,0.080673372,0.0189,Bacteroidales
OTU_12,0.002790288,OTU_12,5.197116025,0.000496,Xanthomonadales
OTU_6,0.100545356,OTU_6,4.857716618,0.00784,Burkholderiales
OTU_3,3.243029985,OTU_3,0.102277879,0.00241,Burkholderiales
OTU_1,1.466347439,OTU_1,2.201861344,0.511,Burkholderiales
OTU_2,3.018619322,OTU_2,0.190623598,0.212,Pseudomonadales
OTU_24,3.467053976,OTU_24,0.015367091,0.0153,Oceanospirillales
OTU_10,0.003515994,OTU_10,3.307958796,0.0000704,Acidobacteriales
OTU_44,0.002450473,OTU_44,3.106508525,0.0000359,Acidobacteriales
OTU_9,0.000997879,OTU_9,2.788100571,0.0000571,TRA3-20
OTU_8,2.370970382,OTU_8,0.026494134,0.109,Bacteroidales
OTU_830,0.001833782,OTU_830,2.373352609,0.00000457,Xanthomonadales
OTU_7,1.919589812,OTU_7,0.15855698,0.0204,Caulobacterales
OTU_311,0.075378917,OTU_311,2.179526876,0.000000102,Acidobacteriales
OTU_19,2.278019772,OTU_19,0.001601814,0.331,Clostridiales
OTU_11,0.00144005,OTU_11,2.093010858,0.0000177,Rhizobiales
OTU_35,0.006455045,OTU_35,2.042137077,0.0000977,Rhizobiales
OTU_18,1.711102529,OTU_18,0.009401761,0.184,Bacteroidales
OTU_15,1.597640432,OTU_15,0.09735321,0.314,Burkholderiales
OTU_16,1.656482898,OTU_16,0.035389874,0.034,Rhizobiales
OTU_13,0.000979799,OTU_13,1.885904538,0.0000019,Acidobacteriales
OTU_54,1.576805579,OTU_54,0.143139745,0.0827,Clostridiales
OTU_31,0.010144633,OTU_31,1.664245623,0.000004,Rhizobiales
OTU_62,1.165140195,OTU_62,0.304715859,0.174,Enterobacteriales
OTU_60,1.357274278,OTU_60,0.011641086,0.041,Pseudomonadales
OTU_14,1.655241313,OTU_14,0.001519088,0.331,Sphingomonadales
OTU_17,0.000360774,OTU_17,1.528077983,0.0274,Rhodobacterales
OTU_26,1.12919939,OTU_26,0.224144228,0.075,Enterobacteriales
OTU_20,0.000567594,OTU_20,1.493514502,0.0011,Sphingobacteriales
OTU_25,1.181773951,OTU_25,0.025760157,0.294,Burkholderiales
OTU_212,0.023623539,OTU_212,1.357623027,0.0000369,Acidobacteriales
OTU_22,1.351650988,OTU_22,0.013437112,0.0895,Rhodospirillales
OTU_23,1.381608006,OTU_23,0.000400391,0.331,Bdellovibrionales
OTU_33,1.054249415,OTU_33,0.009023891,0.28,Clostridiales
OTU_1515,0.673054504,OTU_1515,0.365674222,0.415,Enterobacteriales
OTU_27,0.965425072,OTU_27,0.036687445,0.0662,Bacteroidales
OTU_28,0.954517772,OTU_28,0.003311812,0.0693,Bacteroidales
OTU_36,0.979981828,OTU_36,0.005740171,0.237,Bacteroidales
OTU_82,0.001255805,OTU_82,1.034887231,1.15E-08,Rhizobiales
OTU_45,0.890185197,OTU_45,0.002015199,0.164,Desulfovibrionales
OTU_29,0.000759272,OTU_29,1.020938444,0.00559,Rhodospirillales
OTU_40,1.045912724,OTU_40,0.00196096,0.331,Vibrionales
OTU_38,0.827477687,OTU_38,0.000275009,0.33,SC-I-84
OTU_34,0.887983623,OTU_34,0.01759132,0.0148,Bacteroidales
OTU_39,0.001323561,OTU_39,0.961576594,0.0421,Rhodospirillales
OTU_1603,0.005605824,OTU_1603,0.943689227,0.00000758,Rhizobiales
OTU_55,0.077514976,OTU_55,0.845451936,9.83E-10,Rhizobiales
OTU_41,0.784428428,OTU_41,9.17E-05,0.331,Bacillales
OTU_46,0.799337517,OTU_46,0.006845364,0.166,Clostridiales
OTU_80,0.8232529,OTU_80,0.019750227,0.0269,Bacteroidales
OTU_151,0.823015309,OTU_151,0.030968687,0.243,Enterobacteriales
OTU_83,0.817384332,OTU_83,0.029915022,0.251,Bacteroidales
OTU_52,0.767712091,OTU_52,0.039467184,0.016,Lactobacillales
OTU_30,0.736703787,OTU_30,0.000303356,0.331,Subgroup_3
OTU_73,0.79625234,OTU_73,0.006621308,0.14,Clostridiales
OTU_49,0.015582632,OTU_49,0.853354102,0.000887,Gemmatimonadales
OTU_37,0.711463643,OTU_37,0.050336305,0.216,Bacteroidales
OTU_47,0.000205788,OTU_47,0.848973441,0.0131,Sphingobacteriales
OTU_106,0.668027043,OTU_106,0.072708254,0.022,Bacteroidales
OTU_86,0.001889498,OTU_86,0.819828681,0.000000642,Rhizobiales
OTU_56,0.711300816,OTU_56,0.026408666,0.189,Bacteroidales
OTU_42,0.627193811,OTU_42,0.006930695,0.194,Sphingomonadales
OTU_53,0.000708105,OTU_53,0.700161423,0.00278,Acidobacteriales
OTU_72,0.62512661,OTU_72,0.003879,0.172,Clostridiales
OTU_152,0.000602507,OTU_152,0.688221202,0.0000237,Acidobacteriales
OTU_57,0.00034685,OTU_57,0.682327787,0.00000404,Rhodospirillales
OTU_64,7.83E-05,OTU_64,0.671663933,0.00557,Oceanospirillales
OTU_104,0.596999846,OTU_104,0.010038422,0.0932,Erysipelotrichales
OTU_131,0.0005219,OTU_131,0.670548616,0.000000436,Rhizobiales
OTU_450,0.004319428,OTU_450,0.658929859,0.00031,Gemmatimonadales
OTU_67,0.006250247,OTU_67,0.64382034,0.0596,Burkholderiales
OTU_90,0.000852842,OTU_90,0.653334556,0.00792,Rhizobiales
OTU_70,0.553732328,OTU_70,0.00019407,0.331,Bacillales
OTU_89,0.559221412,OTU_89,0.01006922,0.123,Bacteroidales
OTU_69,0.000583498,OTU_69,0.624711595,0.0000738,Rhodospirillales
OTU_114,0.463610254,OTU_114,0.06289251,0.35,Burkholderiales
OTU_185,0.550752395,OTU_185,0.002068749,0.0451,Bacteroidales
OTU_51,0.538200337,OTU_51,0.001582805,0.332,Bacteroidales
OTU_134,0.002608963,OTU_134,0.583087708,0.00283,Xanthomonadales
OTU_66,0.499591935,OTU_66,0.005927147,0.239,Desulfovibrionales
OTU_139,0.000881849,OTU_139,0.578092173,0.0000414,Subgroup_3
OTU_58,0.502517696,OTU_58,0.033508598,0.047,Methylophilales
OTU_50,0.000523162,OTU_50,0.572939279,0.00428,Sphingobacteriales
OTU_109,0.000526066,OTU_109,0.56732601,0.00434,Acidobacteriales
OTU_48,0.000164785,OTU_48,0.548078182,0.00717,Sphingobacteriales
OTU_119,0.487559659,OTU_119,0.009852599,0.0814,Bacteroidales
OTU_120,0.031782213,OTU_120,0.520315222,0.0445,Desulfuromonadales
OTU_501,0.079009623,OTU_501,0.453159692,0.000258,Rhizobiales
OTU_59,0.484716157,OTU_59,0.008793911,0.0439,Bacteroidales
OTU_116,0.494081817,OTU_116,0.004020631,0.161,Burkholderiales
OTU_63,0.456595942,OTU_63,0.015166303,0.0374,Bacteroidales
OTU_118,0.469270984,OTU_118,0.015893882,0.0249,Bacteroidales
OTU_75,0.003788485,OTU_75,0.499010861,0.00000449,Caulobacterales
OTU_94,0.45706314,OTU_94,0.005137277,0.336,Clostridiales
OTU_1469,0.000539576,OTU_1469,0.491574363,0.00000116,Acidobacteriales
OTU_196,0.000235142,OTU_196,0.489603566,0.0028,Burkholderiales
OTU_275,0.00024822,OTU_275,0.487243837,0.0000208,Acidobacteriales
OTU_65,0.000244138,OTU_65,0.484789843,0.00000208,Rhodospirillales
OTU_153,0.00129718,OTU_153,0.481341353,0.00000049,Rhizobiales
