OTUID,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6
OTU_4,14745,14448,10090,3938,19038,11939,157,25,6,8,40,4,10,0,4,4,4,3
OTU_12,5,3,3,1,2,3,0,1,1,9,0,3,0,1,1,0,0,1
OTU_6,5,8,1013,231,5,22,0,0,1,1,0,1,1,0,0,0,0,0
OTU_3,461,6621,594,168,134,3107,433,1178,2616,3476,19,3007,319,4996,9754,349,2761,568
OTU_1,370,15,11729,64,9,72,1,1,3,7,1,4,4,1,0,1,2,5397
OTU_2,0,0,0,0,0,0,10,13,6,1473,7,8,9271,7,0,10,26953,722
OTU_24,1419,234,1256,1284,3922,407,511,253,1026,2750,9,506,1250,1549,6165,13406,2555,1299
OTU_10,1,0,0,0,0,0,26,1,0,5,4,2,0,1,1,0,0,0
OTU_44,2,0,1,0,1,0,0,1,1,13,1,4,0,1,0,4,0,0
OTU_9,1,1,1,0,2,1,0,0,1,2,0,1,0,0,0,1,1,0
OTU_8,2,2,1,0,1,1,2470,2238,3051,2451,78,1444,18235,6,9,4,7,14
OTU_830,2,0,1,1,1,1,0,3,0,5,0,5,1,0,0,1,0,1
OTU_7,38,413,6485,2839,6051,41,380,191,356,244,21,600,1677,1974,1514,5,765,6
OTU_311,0,0,1,0,1,0,2,0,886,12,0,1,0,1,2,1,1,2
OTU_19,0,0,0,0,0,0,0,0,0,0,20,0,8,1,9,23536,0,0
OTU_11,0,7,0,0,0,0,0,0,0,7,0,1,1,0,1,1,0,0
OTU_35,0,0,0,21,3,7,36,1,0,3,2,0,1,0,0,0,0,1
OTU_18,0,0,0,0,0,0,2921,950,661,724,34,390,16153,3,4,5,3,7
OTU_15,2,0,1934,1,0,1,5,5,6,0,4,0,0,18732,0,0,6,7
OTU_16,592,563,2,1618,5,24,1,3,5,2911,6,6,6664,5,4,4,6385,1726
OTU_13,0,0,0,0,0,2,1,0,0,3,2,0,0,0,1,2,0,0
OTU_54,2,2888,8,8,7165,5474,429,116,18,3,16,2612,9,4,9,15,3,8
OTU_31,2,3,1,3,0,3,100,0,2,5,0,0,0,0,1,0,0,0
OTU_62,97,4610,5950,3403,103,4,313,28,32,49,26,17,9,16,4,13,30,43
OTU_60,12,5306,50,470,7,4799,5,3,0,1151,8,3,436,1,0,3,4226,393
OTU_14,0,0,1,0,0,0,4,6,3,1,3,0,17,3,0,1,10,16810
OTU_17,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
