OTUID,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_4,6,204,49,176,219,123,4,5,3,6,1,6,42,2,7,14,11,16
OTU_12,7862,7534,7204,6915,7546,6453,1108,1912,917,2248,2642,2405,182,404,259,299,237,362
OTU_6,5646,11494,4381,12723,4820,8592,788,694,874,621,731,629,32,207,114,384,247,253
OTU_3,8,17,441,8,47,112,71,22,42,33,13,26,21,9,41,7,108,25
OTU_1,2300,535,1884,846,1121,311,4304,2317,3095,562,710,1425,87,175,921,522,1070,1223
OTU_2,1,0,0,0,0,0,82,5,20,4,12,5,232,69,288,564,401,358
OTU_24,10,3,19,31,28,58,2,1,3,7,3,5,0,0,0,0,0,0
OTU_10,270,187,194,152,212,196,2224,1613,3427,2829,3272,2137,1560,3322,5481,3116,1253,4382
OTU_44,4027,3654,3684,3887,3877,2524,1577,1395,1887,1862,1904,1622,80,353,711,463,46,170
OTU_9,2915,2781,3069,3456,3632,3459,1066,1993,1341,1898,2135,2109,14,108,102,163,3,57
OTU_8,1,3,0,0,146,2,12,8,7,9,4,63,15,4,4,7,4,9
OTU_830,2479,2175,2338,2182,2651,3165,971,1342,1470,1580,1841,1367,311,498,343,701,136,252
OTU_7,10,9,14,7,38,480,119,67,46,84,83,78,79,53,56,77,240,178
OTU_311,1140,776,850,596,975,513,1742,1460,2790,1761,2264,1998,793,1467,1685,1534,556,708
OTU_19,0,0,0,0,0,0,1,2,3,11,0,0,0,0,0,0,0,0
OTU_11,835,535,353,373,612,757,862,2601,1376,2596,2772,3176,613,854,868,1270,811,1316
OTU_35,2418,2006,2172,2983,2528,3548,686,858,864,634,616,627,251,335,446,584,344,357
OTU_18,3,0,1,2,3,1,12,6,0,5,5,44,0,0,3,0,15,1
OTU_15,68,63,72,65,53,52,201,8,29,6,1,30,10,18,241,17,50,63
OTU_16,2,1,0,14,19,2,40,8,0,25,3,1,67,13,16,39,90,40
OTU_13,1616,1398,1361,1700,2007,1079,1646,1633,1410,1508,1783,1828,62,477,402,381,13,138
OTU_54,89,0,2,71,3,2,3,6,7,4,8,5,421,221,124,123,257,211
OTU_31,1877,1542,1622,1578,2043,1319,1004,1395,899,1214,1094,1099,211,221,275,297,168,151
OTU_62,77,95,555,40,552,121,12,90,80,16,13,19,234,89,86,56,829,279
OTU_60,2,1,1,13,76,0,33,1,1,2,1,0,0,0,0,0,0,0
OTU_14,0,0,0,0,0,0,0,6,0,1,0,0,0,5,3,0,0,1
OTU_17,0,0,0,0,0,0,186,96,671,18,34,396,1211,2020,2002,971,2430,6366
OTU_26,35,15,0,0,4,243,94,92,69,89,44,80,710,212,127,114,277,229
OTU_20,2015,2173,2179,2421,2704,1814,560,465,389,354,437,398,3,91,133,109,0,18
OTU_25,0,7,2,2,8,3,13,5,0,6,9,4,81,0,22,42,67,7
OTU_212,87,97,69,23,108,63,1142,787,1080,1237,1316,872,1520,1689,1575,481,1643,890
OTU_22,2,0,0,1,2,1,0,3,2,3,2,0,7,10,7,6,57,40
OTU_23,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
OTU_33,0,1,0,0,0,0,11,6,9,9,8,15,1,3,10,13,2,9
OTU_1515,394,57,538,327,475,11,48,85,80,33,7,10,239,39,202,87,987,293
OTU_27,3,24,24,48,119,1,0,3,1,0,2,0,63,30,9,22,27,30
OTU_28,0,0,0,0,0,0,2,2,1,2,4,24,0,1,0,0,0,0
OTU_36,3,0,0,0,5,0,0,0,0,1,0,0,13,14,9,10,3,5
OTU_82,841,506,556,602,841,1201,423,435,606,324,454,374,404,407,441,875,1104,818
OTU_45,0,4,0,0,1,3,3,0,0,0,0,0,0,5,6,0,0,0
OTU_29,332,198,189,163,259,147,1492,1470,359,2330,2052,1880,14,33,11,20,4,12
OTU_40,6,0,0,6,3,2,0,0,2,3,0,0,0,0,0,0,0,0
OTU_38,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OTU_34,1,39,0,0,0,0,15,8,8,13,6,59,1,12,10,5,4,8
OTU_39,0,5,0,0,0,8,893,569,154,73,96,254,1276,4655,1706,756,11,10
OTU_1603,943,610,440,579,600,682,540,1065,595,1049,967,1245,53,333,239,194,17,66
OTU_55,417,465,377,266,329,734,157,335,619,465,565,629,537,777,583,668,553,694
OTU_41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU_46,2,0,3,2,2,1,1,2,2,0,4,1,16,7,5,2,15,9
OTU_80,0,3,0,0,8,6,38,22,20,13,28,68,0,0,2,3,1,1
OTU_151,1,2,1,41,2,1,0,0,1,3,1,1,100,43,16,41,51,33
OTU_83,17,4,2,91,51,99,5,1,1,2,2,0,11,17,4,5,12,12
OTU_52,29,2,1,0,1,6,46,58,50,43,32,90,9,11,7,12,7,19
OTU_30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU_73,0,1,0,0,0,1,2,11,10,1,0,5,13,9,3,2,2,11
OTU_49,8,0,0,0,4,0,589,959,2126,461,445,391,693,479,712,735,504,1068
OTU_37,1,40,0,1,0,0,3,35,18,4,0,3,232,47,26,39,58,38
OTU_47,0,0,0,0,0,0,13,9,18,79,77,244,1090,1951,439,1478,2279,1449
OTU_106,15,29,40,138,48,7,32,32,27,18,23,40,74,55,20,47,61,83
OTU_86,348,220,245,184,310,273,225,545,708,541,496,902,495,393,290,799,1074,780
OTU_56,1,53,0,4,43,0,12,12,4,13,12,12,35,29,12,10,14,22
