OTUID,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_4,14745,14448,10090,3938,19038,11939,6,204,49,176,219,123,157,25,6,8,40,4,4,5,3,6,1,6,10,0,4,4,4,3,42,2,7,14,11,16
OTU_12,5,3,3,1,2,3,7862,7534,7204,6915,7546,6453,0,1,1,9,0,3,1108,1912,917,2248,2642,2405,0,1,1,0,0,1,182,404,259,299,237,362
OTU_6,5,8,1013,231,5,22,5646,11494,4381,12723,4820,8592,0,0,1,1,0,1,788,694,874,621,731,629,1,0,0,0,0,0,32,207,114,384,247,253
OTU_3,461,6621,594,168,134,3107,8,17,441,8,47,112,433,1178,2616,3476,19,3007,71,22,42,33,13,26,319,4996,9754,349,2761,568,21,9,41,7,108,25
OTU_1,370,15,11729,64,9,72,2300,535,1884,846,1121,311,1,1,3,7,1,4,4304,2317,3095,562,710,1425,4,1,0,1,2,5397,87,175,921,522,1070,1223
OTU_2,0,0,0,0,0,0,1,0,0,0,0,0,10,13,6,1473,7,8,82,5,20,4,12,5,9271,7,0,10,26953,722,232,69,288,564,401,358
OTU_24,1419,234,1256,1284,3922,407,10,3,19,31,28,58,511,253,1026,2750,9,506,2,1,3,7,3,5,1250,1549,6165,13406,2555,1299,0,0,0,0,0,0
OTU_10,1,0,0,0,0,0,270,187,194,152,212,196,26,1,0,5,4,2,2224,1613,3427,2829,3272,2137,0,1,1,0,0,0,1560,3322,5481,3116,1253,4382
OTU_44,2,0,1,0,1,0,4027,3654,3684,3887,3877,2524,0,1,1,13,1,4,1577,1395,1887,1862,1904,1622,0,1,0,4,0,0,80,353,711,463,46,170
OTU_9,1,1,1,0,2,1,2915,2781,3069,3456,3632,3459,0,0,1,2,0,1,1066,1993,1341,1898,2135,2109,0,0,0,1,1,0,14,108,102,163,3,57
OTU_8,2,2,1,0,1,1,1,3,0,0,146,2,2470,2238,3051,2451,78,1444,12,8,7,9,4,63,18235,6,9,4,7,14,15,4,4,7,4,9
OTU_830,2,0,1,1,1,1,2479,2175,2338,2182,2651,3165,0,3,0,5,0,5,971,1342,1470,1580,1841,1367,1,0,0,1,0,1,311,498,343,701,136,252
OTU_7,38,413,6485,2839,6051,41,10,9,14,7,38,480,380,191,356,244,21,600,119,67,46,84,83,78,1677,1974,1514,5,765,6,79,53,56,77,240,178
OTU_311,0,0,1,0,1,0,1140,776,850,596,975,513,2,0,886,12,0,1,1742,1460,2790,1761,2264,1998,0,1,2,1,1,2,793,1467,1685,1534,556,708
OTU_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,2,3,11,0,0,8,1,9,23536,0,0,0,0,0,0,0,0
OTU_11,0,7,0,0,0,0,835,535,353,373,612,757,0,0,0,7,0,1,862,2601,1376,2596,2772,3176,1,0,1,1,0,0,613,854,868,1270,811,1316
OTU_35,0,0,0,21,3,7,2418,2006,2172,2983,2528,3548,36,1,0,3,2,0,686,858,864,634,616,627,1,0,0,0,0,1,251,335,446,584,344,357
OTU_18,0,0,0,0,0,0,3,0,1,2,3,1,2921,950,661,724,34,390,12,6,0,5,5,44,16153,3,4,5,3,7,0,0,3,0,15,1
OTU_15,2,0,1934,1,0,1,68,63,72,65,53,52,5,5,6,0,4,0,201,8,29,6,1,30,0,18732,0,0,6,7,10,18,241,17,50,63
OTU_16,592,563,2,1618,5,24,2,1,0,14,19,2,1,3,5,2911,6,6,40,8,0,25,3,1,6664,5,4,4,6385,1726,67,13,16,39,90,40
OTU_13,0,0,0,0,0,2,1616,1398,1361,1700,2007,1079,1,0,0,3,2,0,1646,1633,1410,1508,1783,1828,0,0,1,2,0,0,62,477,402,381,13,138
OTU_54,2,2888,8,8,7165,5474,89,0,2,71,3,2,429,116,18,3,16,2612,3,6,7,4,8,5,9,4,9,15,3,8,421,221,124,123,257,211
OTU_31,2,3,1,3,0,3,1877,1542,1622,1578,2043,1319,100,0,2,5,0,0,1004,1395,899,1214,1094,1099,0,0,1,0,0,0,211,221,275,297,168,151
OTU_62,97,4610,5950,3403,103,4,77,95,555,40,552,121,313,28,32,49,26,17,12,90,80,16,13,19,9,16,4,13,30,43,234,89,86,56,829,279
OTU_60,12,5306,50,470,7,4799,2,1,1,13,76,0,5,3,0,1151,8,3,33,1,1,2,1,0,436,1,0,3,4226,393,0,0,0,0,0,0
OTU_14,0,0,1,0,0,0,0,0,0,0,0,0,4,6,3,1,3,0,0,6,0,1,0,0,17,3,0,1,10,16810,0,5,3,0,0,1
OTU_17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,186,96,671,18,34,396,1,0,0,1,0,0,1211,2020,2002,971,2430,6366
OTU_26,3474,2954,2576,3809,9,11,35,15,0,0,4,243,242,81,156,87,40,66,94,92,69,89,44,80,76,53,50,76,46,50,710,212,127,114,277,229
OTU_20,1,0,0,0,0,1,2015,2173,2179,2421,2704,1814,0,0,0,2,0,1,560,465,389,354,437,398,0,1,1,0,0,0,3,91,133,109,0,18
OTU_25,2,6,1,93,3,2,0,7,2,2,8,3,20,11,80,119,11,7,13,5,0,6,9,4,851,7,5,4,13656,146,81,0,22,42,67,7
OTU_212,1,0,0,0,0,2,87,97,69,23,108,63,259,4,0,4,0,2,1142,787,1080,1237,1316,872,0,3,0,3,0,0,1520,1689,1575,481,1643,890
