row,Elongation,Seedling,Tillering,MeanDecreaseAccuracy,MeanDecreaseGini,Order,top,Group,Organ,Seedling_R,Tillering_R,Elongation_R
OTU_719,1.73727046,2.071676976,1.001001503,2.168013728,0.05627619,Sphingobacteriales,1,Elongation,R,0,18.16666667,19
OTU_1358,0.832626928,1.791408695,1.73727046,1.968748077,0.055980952,Clostridiales,2,Tillering,R,0,5.833333333,4.333333333
OTU_90,0,1.001001503,1.001001503,1.001001503,0.0518,Rhizobiales,3,Tillering,R,0,1016,164.3333333
OTU_81,1.417050503,1.632639179,1.001001503,1.531101981,0.049628571,Sphingobacteriales,4,Seedling,R,476.1666667,179.3333333,28
OTU_146,1.417050503,1.671315676,0,1.565161932,0.049285714,Rhizobiales,5,Tillering,R,134.8333333,441,215
OTU_404,1.73727046,1.968748077,1.001001503,1.947631113,0.047752381,Rhizobiales,6,Elongation,R,1.666666667,32.83333333,196.6666667
OTU_1146,1.001001503,1.968748077,1.417050503,1.92051957,0.04372381,Xanthomonadales,7,Seedling,R,14,0.333333333,0
OTU_415,1.001001503,1.866994918,0,1.718784988,0.043152381,Xanthomonadales,8,Seedling,R,92.66666667,0.5,0
OTU_557,1.904234223,1.575323471,0,1.917052779,0.040485714,Sphingobacteriales,9,Tillering,R,0,72,31.16666667
OTU_168,1.34406228,1.702664148,-1.001001503,1.682224655,0.040085714,Sphingobacteriales,10,Elongation,R,0,29.83333333,32
OTU_140,1.266939792,1.510994713,-1.001001503,1.675945689,0.039333333,Rhodocyclales,11,Seedling,R,10.83333333,3.833333333,1.166666667
OTU_376,1.73727046,1.402752094,0,1.650698587,0.039152381,Xanthomonadales,12,Elongation,R,0.166666667,0.833333333,211.1666667
OTU_212,1.637365307,1.417050503,1.001001503,1.69066636,0.038619048,Acidobacteriales,13,Elongation,R,74.5,1072.333333,1299.666667
OTU_593,1.266939792,1.001001503,1.001001503,1.417050503,0.038285714,Burkholderiales,14,Elongation,R,0.166666667,6.833333333,96.33333333
OTU_531,1.637365307,1.34406228,0,1.581807186,0.038,Spirochaetales,15,Elongation,R,0,19,49
OTU_981,1.001001503,1.71058925,0,1.637365307,0.036333333,Sphingomonadales,16,Seedling,R,13.16666667,1,0
OTU_1200,1.001001503,1.531101981,1.001001503,1.598786258,0.035,Acidobacteriales,17,Elongation,R,0.833333333,28.33333333,33.5
OTU_1095,1.001001503,1.72005229,1.001001503,1.537242122,0.034133333,Unassigned,18,Seedling,R,10.16666667,1.833333333,0
OTU_213,1.904234223,1.73727046,0,1.995668434,0.034057143,Clostridiales,19,Elongation,R,0,1.5,6.333333333
OTU_1248,1.34406228,1.001001503,0,1.34406228,0.033333333,Rhizobiales,20,Elongation,R,0,0,9.5
OTU_817,1.001001503,1.607706884,1.001001503,1.675945689,0.032847619,Legionellales,21,Elongation,R,,,
OTU_354,1.417050503,1.791408695,1.001001503,1.917052779,0.032809524,Rhodospirillales,22,Elongation,R,,,
OTU_896,1.671315676,1.75142361,0,1.829623534,0.032761905,Rhizobiales,23,Elongation,R,,,
OTU_39,0,1.34406228,1.001001503,1.380621367,0.032666667,Rhodospirillales,24,Elongation,R,,,
OTU_47,1.84453388,1.610067785,0,1.800137901,0.032390476,Sphingobacteriales,25,Elongation,R,,,
OTU_1471,1.389425036,1.34406228,0,1.374578563,0.032257143,Clostridiales,26,Elongation,R,,,
OTU_958,1.671315676,1.610067785,0,1.723003869,0.032142857,Rhizobiales,27,Elongation,R,,,
OTU_920,1.417050503,1.637365307,0,1.531101981,0.031809524,Gaiellales,28,Elongation,R,,,
OTU_255,1.417050503,1.637365307,1.001001503,1.73727046,0.031666667,Burkholderiales,29,Elongation,R,,,
OTU_196,1.671315676,1.417050503,1.417050503,1.956398691,0.030914286,Burkholderiales,30,Elongation,R,,,
OTU_523,1.671315676,1.575323471,0,1.84453388,0.0308,Subgroup_3,31,Elongation,R,,,
OTU_323,1.001001503,1.001001503,1.001001503,1.408348959,0.030380952,Propionibacteriales,32,Elongation,R,,,
OTU_1410,1.417050503,1.001001503,1.001001503,1.417050503,0.030166667,Rhodocyclales,33,Elongation,R,,,
OTU_1534,0,-1.001001503,0,-1.001001503,0.029666667,Rhizobiales,34,Elongation,R,,,
OTU_64,1.417050503,1.001001503,1.001001503,1.417050503,0.02947619,Oceanospirillales,35,Elongation,R,,,
OTU_240,1.417050503,1.389425036,0,1.34406228,0.02947619,Rhodocyclales,36,Elongation,R,,,
OTU_1236,1.34406228,1.510994713,1.001001503,1.728421406,0.029428571,Clostridiales,37,Elongation,R,,,
OTU_69,0,1.001001503,1.417050503,1.34406228,0.029342857,Rhodospirillales,38,Elongation,R,,,
OTU_1046,0,1.001001503,-1.001001503,0.156177571,0.028857143,Acidobacteriales,39,Elongation,R,,,
OTU_997,1.417050503,1.001001503,1.001001503,1.374578563,0.02847619,Legionellales,40,Elongation,R,,,
OTU_112,1.34406228,1.702664148,0,1.677706217,0.028466667,Corynebacteriales,41,Elongation,R,,,
OTU_1859,0,0,0,0,0.02827619,Rhodospirillales,42,Elongation,R,,,
OTU_969,1.001001503,1.001001503,0,1.001001503,0.027952381,Oceanospirillales,43,Elongation,R,,,
OTU_35,0,1.417050503,1.001001503,1.322255749,0.027866667,Rhizobiales,44,Elongation,R,,,
OTU_1433,1.001001503,1.001001503,0,1.001001503,0.027809524,Clostridiales,45,Elongation,R,,,
OTU_314,1.001001503,1.417050503,1.001001503,1.402752094,0.027666667,Rhizobiales,46,Elongation,R,,,
OTU_9,1.001001503,1.34406228,1.001001503,1.214465419,0.027533333,TRA3-20,47,Elongation,R,,,
OTU_256,1.001001503,1.417050503,0,1.34406228,0.027466667,Subgroup_3,48,Elongation,R,,,
OTU_497,1.73727046,1.72005229,0,1.727020141,0.02727619,Rhodospirillales,49,Elongation,R,,,
OTU_1167,1.001001503,1.34406228,1.001001503,1.289591936,0.02727619,Cytophagales,50,Elongation,R,,,
OTU_266,1.001001503,1.001001503,0,1.001001503,0.0272,Rhodospirillales,51,Elongation,R,,,
OTU_840,1.417050503,1.402752094,1.001001503,1.380621367,0.027142857,Rhodocyclales,52,Elongation,R,,,
OTU_1000,1.73727046,1.675945689,1.001001503,1.699753027,0.02667619,Rhizobiales,53,Elongation,R,,,
OTU_425,1.34406228,1.302069277,0,1.389425036,0.026428571,Burkholderiales,54,Elongation,R,,,
OTU_48,1.001001503,1.389425036,0,1.417050503,0.026333333,Sphingobacteriales,55,Elongation,R,,,
OTU_20,1.001001503,1.34406228,1.001001503,1.355424488,0.026333333,Sphingobacteriales,56,Elongation,R,,,
OTU_1735,0,0,0,0,0.026142857,Acidobacteriales,57,Elongation,R,,,
OTU_697,0,0,0,0,0.026085714,Myxococcales,58,Elongation,R,,,
OTU_1863,0,1.389425036,1.001001503,1.302069277,0.026,Nitrosomonadales,59,Elongation,R,,,
OTU_280,0,1.001001503,0,1.001001503,0.025866667,Sphingomonadales,60,Elongation,R,,,
OTU_926,1.34406228,0,1.001001503,1.417050503,0.025857143,Sphingobacteriales,61,Elongation,R,,,
OTU_876,1.266939792,1.389425036,1.417050503,1.366929044,0.025666667,Rhizobiales,62,Elongation,R,,,
OTU_540,1.001001503,1.001001503,-1.001001503,1.001001503,0.02552381,Rhodospirillales,63,Elongation,R,,,
OTU_943,0,1.34406228,1.001001503,0.983632992,0.02552381,Neisseriales,64,Elongation,R,,,
OTU_6,0,1.001001503,0,1.001001503,0.025047619,Burkholderiales,65,Elongation,R,,,
OTU_558,1.34406228,1.417050503,0,1.34406228,0.024809524,Methylophilales,66,Elongation,R,,,
OTU_392,1.417050503,1.389425036,0,1.402752094,0.024666667,Xanthomonadales,67,Elongation,R,,,
OTU_331,1.001001503,1.389425036,0,1.289591936,0.024666667,Clostridiales,68,Elongation,R,,,
OTU_250,1.417050503,1.001001503,-1.001001503,1.001001503,0.024666667,Corynebacteriales,69,Elongation,R,,,
OTU_633,1.34406228,1.001001503,0,1.34406228,0.024419048,Gemmatimonadales,70,Elongation,R,,,
OTU_576,1.417050503,1.417050503,0,1.663615346,0.024342857,Enterobacteriales,71,Elongation,R,,,
OTU_29,1.001001503,0,1.001001503,1.001001503,0.0242,Rhodospirillales,72,Elongation,R,,,
OTU_1101,1.671315676,1.417050503,0,1.708882763,0.024133333,Burkholderiales,73,Elongation,R,,,
OTU_1524,1.001001503,1.001001503,0,1.001001503,0.024,Myxococcales,74,Elongation,R,,,
