SampleID,richness,chao1,ACE,shannon,simpson,invsimpson
DS1_L_1,19,20.66666667,22.36111111,2.338162596,0.8496,6.64893617
DS1_L_2,21,22.2,23.04449167,2.701020787,0.9088,10.96491228
DS1_L_3,20,23.33333333,23.16831039,2.658521211,0.9114,11.28668172
DS1_L_4,35,45.5,55.65542477,3.190094732,0.944,17.85714286
DS1_L_5,14,14.75,16.3716265,2.171346937,0.8482,6.587615283
DS1_L_6,20,20.6,21.29431688,2.682554484,0.9082,10.89324619
DS1_R_1,40,63.1,74.55003944,3.233977485,0.9372,15.92356688
DS1_R_2,35,52,53.06055509,2.914240453,0.8934,9.380863039
DS1_R_3,42,81.42857143,87.67884828,3.354395949,0.9492,19.68503937
DS1_R_4,40,79.42857143,88.01709542,3.190452834,0.9332,14.97005988
DS1_R_5,43,124.2,135.9444092,3.288135538,0.9424,17.36111111
DS1_R_6,40,78.5,75.86633745,3.255000337,0.938,16.12903226
DS2_L_1,66,219.125,210.6666667,3.994929646,0.9766,42.73504274
DS2_L_2,56,96.07142857,97.30473373,3.744303417,0.963,27.02702703
DS2_L_3,57,102.7692308,115.8830913,3.836401581,0.9728,36.76470588
DS2_L_4,54,81.1875,96.40074212,3.780770756,0.9714,34.96503497
DS2_L_5,60,178.25,200.3401361,3.827611088,0.9698,33.11258278
DS2_L_6,53,82,92.31894425,3.763978922,0.971,34.48275862
DS2_R_1,59,133.1,138.97372,3.864930672,0.973,37.03703704
DS2_R_2,62,136.5454545,130.0093727,3.961458114,0.9772,43.85964912
DS2_R_3,67,108,113.559322,4.111065677,0.982,55.55555556
DS2_R_4,64,142.8333333,148.185941,3.991531666,0.9776,44.64285714
DS2_R_5,55,88.06666667,103.0276817,3.799173966,0.972,35.71428571
DS2_R_6,67,169.5454545,161.4801865,4.057448403,0.9796,49.01960784
DS3_L_1,12,15,17.15789474,1.944640218,0.8208,5.580357143
DS3_L_2,13,15,18.26347107,2.06631383,0.8438,6.402048656
DS3_L_3,27,31,33.31362275,2.985176007,0.9368,15.82278481
DS3_L_4,12,40,71.26530612,1.582229566,0.7276,3.671071953
DS3_L_5,16,44,29.2415879,2.006707515,0.796,4.901960784
DS3_L_6,17,19.5,25.74025974,2.119330158,0.8244,5.69476082
DS3_R_1,69,217.5,243.2532703,3.967613275,0.9688,32.05128205
DS3_R_2,58,132.1,135.5607182,3.794261148,0.9676,30.86419753
DS3_R_3,60,151.1111111,149.2718045,3.883333883,0.9736,37.87878788
DS3_R_4,72,154.875,172.979798,4.162427256,0.982,55.55555556
DS3_R_5,75,193.0714286,239.7478183,4.196077839,0.982,55.55555556
DS3_R_6,59,134.25,211.1411765,3.716577529,0.9586,24.15458937
