row,MeanDecreaseGini,class,Seedling,Tillering,Elongation
iron_respiration,0.791892063,Other,32.66666667,1445,1003.833333
phototrophy,0.718633333,Other,77.5,829.6666667,2717.666667
nitrate_reduction,0.517984127,N,806.1666667,367.1666667,3686.833333
nitrogen_fixation,0.513769841,N,901.5,837.5,2031.5
chemoheterotrophy,0.499552958,C,21023.16667,12067.66667,13425.33333
nitrogen_respiration,0.494395382,N,105.8333333,165,1022
dark_hydrogen_oxidation,0.432125397,H,0.166666667,1,26.5
respiration_of_sulfur_compounds,0.40862381,S,17,56.66666667,1301.333333
ureolysis,0.4068,N,479,321.3333333,1480.333333
dark_oxidation_of_sulfur_compounds,0.375811111,S,45.83333333,58.66666667,486.6666667
