group,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrification,5,1,206,1,723,1,28,12,5,11,23,105,3,0,50,3,0,0,22,9,3,24,45,10,74,1,67,0,37,5,275,194,89,191,138,166
respiration_of_sulfur_compounds,4,0,2,0,0,0,4,5,36,18,34,5,389,73,699,237,322,5242,13,8,279,16,8,16,3,167,7,9,4,186,2174,1224,1237,868,1736,569
dissimilatory_arsenate_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissimilatory_arsenite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark_hydrogen_oxidation,0,0,0,51,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,5,1,0,0,0,0,1,0,0,1,46,45,45,5,3,15
dark_oxidation_of_sulfur_compounds,668,1,133,3,5,3,41,150,9,30,42,3,29,468,16,66,3,1,64,74,126,61,12,15,50,2,21,57,116,52,1079,102,722,178,342,497
animal_parasites_or_symbionts,5158,12894,11687,13907,10704,4841,537,354,929,400,892,1237,1835,811,2495,2576,1750,1242,292,347,327,269,194,260,870,2671,220,252,6338,670,1643,713,438,494,1780,949
nitrogen_respiration,18,6292,863,230,864,4844,180,67,143,31,147,67,57,900,1069,1531,46,623,204,216,410,39,50,71,9350,14,283,70,27150,1985,1857,1160,839,1088,572,616
phototrophy,1,0,0,1,1,0,159,80,36,28,114,48,27,462,10,66,1,1,586,972,1036,670,741,973,32,2,0,22,0,39,1970,2097,2050,1097,2602,6490
chemoheterotrophy,57544,35420,42169,41233,39740,30839,19174,23140,17135,25005,19959,21726,23967,28911,24968,28415,10106,21091,12878,10489,12912,11758,12455,11914,23381,21775,26288,32603,58561,33563,12656,11077,11423,13778,17494,14124
dark_sulfite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,3,0,0,0,0,0,0,0,19,1,19,36,4,11,0,0,0,0,0,0
nitrogen_fixation,110,859,288,596,11,4,920,844,724,701,1148,1072,29,468,11,287,26,3,443,637,1399,757,846,943,37,3,0,26,1,50,2266,2123,1946,2786,1475,1593
manganese_oxidation,0,0,0,0,0,0,7,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
manganese_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plant_pathogen,495,3,224,1270,5,1,41,7,222,223,134,8,31,5,64,34,3,18,62,68,74,141,204,182,10,30,1,13,35,419,145,97,358,235,58,98
dark_iron_oxidation,1,0,0,1,0,0,0,7,0,1,1,0,26,462,10,65,0,1,2,59,35,50,0,1,31,1,0,21,0,39,19,4,258,54,45,55
iron_respiration,375,1,1,0,0,0,31,45,53,32,34,1,0,0,4,7,0,4,2914,2240,2697,245,327,247,1,1,0,2,0,1,1062,1352,1458,992,790,369
nitrate_reduction,5016,14247,13796,11648,9242,5002,744,257,1346,505,1467,518,2444,1424,2032,2501,202,2232,423,540,712,208,125,195,9450,1883,380,257,27294,2116,6451,4710,3330,1805,3435,2390
fumarate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,9,0,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,2
intracellular_parasites,0,660,1,37,1,2,112,131,91,380,248,524,0,0,0,36,5,0,480,446,236,267,332,478,0,0,0,0,0,0,96,94,73,135,315,246
chlorate_reducers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predatory_or_exoparasitic,194,1,0,0,866,1,138,75,35,30,106,146,560,208,83,5,2,724,141,218,185,228,257,140,11,1539,2,3,29,14043,141,86,243,135,242,303
chloroplasts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonphotosynthetic_cyanobacteria,0,0,0,0,0,0,0,4,4,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plastic_degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ureolysis,9,7,174,3,0,6,506,382,381,467,730,408,672,781,1602,862,22,888,253,212,967,141,153,202,2537,194,1687,70,781,3296,1087,707,1819,3317,1024,928
reductive_acetogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
