group,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
methanotrophy,0,0,0,0,0,0,2,0,19,0,22,0,0,1,0,0,1,0,1,2,0,7,1,5,0,0,0,0,0,0,135,13,126,44,59,28
acetoclastic_methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_disproportionation_of_methyl_groups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_using_formate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_CO2_reduction_with_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_reduction_of_methyl_compounds_with_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogenotrophic_methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanol_oxidation,8,3,1,50,0,4,27,4,6,13,17,4,47,777,1551,636,7,886,27,26,413,8,24,27,2531,192,1688,65,780,3284,46,195,107,119,36,82
methylotrophy,8,3,1,50,0,4,29,4,25,13,39,4,47,778,1551,636,8,886,28,28,413,15,25,32,2531,192,1688,65,780,3284,181,208,233,163,95,110
aerobic_ammonia_oxidation,3,1,1,0,0,0,20,10,4,2,23,105,0,0,0,0,0,0,5,7,2,6,5,6,0,0,0,0,0,0,31,4,3,10,43,31
aerobic_nitrite_oxidation,2,0,205,1,723,1,8,2,1,9,0,0,3,0,50,3,0,0,17,2,1,18,40,4,74,1,67,0,37,5,244,190,86,181,95,135
nitrification,5,1,206,1,723,1,28,12,5,11,23,105,3,0,50,3,0,0,22,9,3,24,45,10,74,1,67,0,37,5,275,194,89,191,138,166
sulfate_respiration,4,0,2,0,0,0,0,0,0,0,0,0,389,73,699,237,322,5242,11,5,268,5,7,12,3,3,7,9,4,186,2156,782,580,734,1735,568
sulfur_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0
dark_sulfite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,3,0,0,0,0,0,0,0,19,1,19,36,4,11,0,0,0,0,0,0
sulfite_respiration,0,0,0,0,0,0,4,5,36,18,34,5,0,0,0,0,0,0,2,3,4,11,1,4,0,164,0,0,0,0,0,41,135,28,0,10
thiosulfate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,18,529,653,131,1,0
respiration_of_sulfur_compounds,4,0,2,0,0,0,4,5,36,18,34,5,389,73,699,237,322,5242,13,8,279,16,8,16,3,167,7,9,4,186,2174,1224,1237,868,1736,569
arsenate_detoxification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissimilatory_arsenate_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenite_oxidation_detoxification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenite_oxidation_energy_yielding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissimilatory_arsenite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anammox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrate_denitrification,4,0,0,49,1,2,1,1,0,2,29,2,8,776,880,48,3,143,0,13,3,0,0,6,3,3,204,52,154,1259,5,1,20,3,1,1
nitrite_denitrification,4,0,0,49,1,2,1,1,0,2,29,2,8,776,880,48,3,143,0,13,3,0,0,6,3,3,204,52,154,1259,5,1,20,3,1,1
nitrous_oxide_denitrification,4,0,0,49,1,2,1,1,0,2,29,2,8,776,880,48,3,143,0,13,3,0,0,6,3,3,204,52,154,1259,5,1,20,3,1,1
denitrification,4,0,0,49,1,2,1,1,0,2,29,2,8,776,880,48,3,143,0,13,3,0,0,6,3,3,204,52,154,1259,5,1,20,3,1,1
chitinolysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knallgas_bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark_hydrogen_oxidation,0,0,0,51,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,5,1,0,0,0,0,1,0,0,1,46,45,45,5,3,15
nitrogen_fixation,110,859,288,596,11,4,920,844,724,701,1148,1072,29,468,11,287,26,3,443,637,1399,757,846,943,37,3,0,26,1,50,2266,2123,1946,2786,1475,1593
nitrate_ammonification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrite_ammonification,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,2,1,3,8,3,3,3,2,3,3,0,9,2,2,0,0,0,0,0,0,0
nitrite_respiration,4,0,0,49,1,2,7,12,3,2,36,2,10,780,887,50,7,147,9,22,10,3,4,10,6,3,213,54,156,1260,17,6,24,6,21,4
cellulolysis,0,56,0,5,0,1,206,147,189,164,413,160,0,0,0,2,0,1,441,624,516,535,469,509,1,60,1,1,0,1,108,286,193,306,126,312
xylanolysis,4,6,3103,5670,2,101,5,54,36,19,34,5,55,202,36,14,54,34,12,38,23,18,16,17,5,170,1232,6,10,13,240,60,32,49,63,42
dark_sulfide_oxidation,1,1,0,3,4,3,0,7,0,2,1,0,26,462,10,66,0,1,2,59,35,50,1,1,31,1,0,21,0,39,1070,96,703,172,323,483
