Newid,ORG,Group,Development,TimeGrowth,ORG
DS1_L_1,L,Seedling_L,21,Seedling_L,L
DS1_L_2,L,Seedling_L,21,Seedling_L,L
DS1_L_3,L,Seedling_L,21,Seedling_L,L
DS1_L_4,L,Seedling_L,21,Seedling_L,L
DS1_L_5,L,Seedling_L,21,Seedling_L,L
DS1_L_6,L,Seedling_L,21,Seedling_L,L
DS1_R_1,R,Seedling_R,21,Seedling_R,R
DS1_R_2,R,Seedling_R,21,Seedling_R,R
DS1_R_3,R,Seedling_R,21,Seedling_R,R
DS1_R_4,R,Seedling_R,21,Seedling_R,R
DS1_R_5,R,Seedling_R,21,Seedling_R,R
DS1_R_6,R,Seedling_R,21,Seedling_R,R
DS2_L_1,L,Tillering_L,42,Tillering_L,L
DS2_L_2,L,Tillering_L,42,Tillering_L,L
DS2_L_3,L,Tillering_L,42,Tillering_L,L
DS2_L_4,L,Tillering_L,42,Tillering_L,L
DS2_L_5,L,Tillering_L,42,Tillering_L,L
DS2_L_6,L,Tillering_L,42,Tillering_L,L
DS2_R_1,R,Tillering_R,42,Tillering_R,R
DS2_R_2,R,Tillering_R,42,Tillering_R,R
DS2_R_3,R,Tillering_R,42,Tillering_R,R
DS2_R_4,R,Tillering_R,42,Tillering_R,R
DS2_R_5,R,Tillering_R,42,Tillering_R,R
DS2_R_6,R,Tillering_R,42,Tillering_R,R
DS3_L_1,L,Elongation_L,63,Elongation_L,L
DS3_L_2,L,Elongation_L,63,Elongation_L,L
DS3_L_3,L,Elongation_L,63,Elongation_L,L
DS3_L_4,L,Elongation_L,63,Elongation_L,L
DS3_L_5,L,Elongation_L,63,Elongation_L,L
DS3_L_6,L,Elongation_L,63,Elongation_L,L
DS3_R_1,R,Elongation_R,63,Elongation_R,R
DS3_R_2,R,Elongation_R,63,Elongation_R,R
DS3_R_3,R,Elongation_R,63,Elongation_R,R
DS3_R_4,R,Elongation_R,63,Elongation_R,R
DS3_R_5,R,Elongation_R,63,Elongation_R,R
DS3_R_6,R,Elongation_R,63,Elongation_R,R
