func,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrification,0.007184114,0.001420737,0.296215346,0.001449675,1.163089991,0.002195679,0.123773318,0.04694652,0.023636192,0.039443488,0.091677296,0.405906912,0.009973073,0,0.150724987,0.008176392,0,0,0.117164616,0.054429997,0.014016727,0.161333692,0.285732427,0.063910015,0.161371219,0.003535568,0.231225842,0,0.030743664,0.008853318,0.833914547,0.752375412,0.338030309,0.703291848,0.430550356,0.564433866
respiration_of_sulfur_compounds,0.005747292,0,0.002875877,0,0,0,0.017681903,0.01956105,0.170180581,0.06454389,0.135522959,0.019328901,1.293175094,0.208696647,2.107135321,0.64593497,2.576824584,16.34549423,0.069233637,0.04838222,1.303555576,0.107555795,0.050796876,0.102256024,0.006542076,0.590439825,0.024157924,0.026913071,0.003323639,0.329343438,6.592473542,4.746945899,4.698241483,3.196111643,5.416198677,1.934716083
dissimilatory_arsenate_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissimilatory_arsenite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark_hydrogen_oxidation,0,0,0,0.073933402,0,0,0,0.00391221,0,0,0,0,0,0,0.006028999,0,0.008002561,0,0,0,0.023361211,0.006722237,0,0,0,0,0.003451132,0,0,0.001770664,0.139491161,0.17452007,0.170914201,0.018410781,0.00935979,0.05100306
dark_oxidation_of_sulfur_compounds,0.959797695,0.001420737,0.19124583,0.004349024,0.008043499,0.006587037,0.181239501,0.586831501,0.042545145,0.10757315,0.167410714,0.01159734,0.096406369,1.337945625,0.048231996,0.179880625,0.024007682,0.003118179,0.34084252,0.447535531,0.588702518,0.410056467,0.076195314,0.095865022,0.109034608,0.007071136,0.072473771,0.170449448,0.096385542,0.09207451,3.271977439,0.395578825,2.742223404,0.655423816,1.067016099,1.689901394
animal_parasites_or_symbionts,7.411132504,18.31898389,16.80518808,20.16062394,17.21952318,10.62928157,2.37379542,1.384922343,4.391604425,1.434308663,3.555484694,4.781970002,6.100196137,2.318533978,7.521176861,7.02079529,14.00448143,3.872778297,1.555093998,2.098578772,1.527823202,1.808281796,1.231824243,1.661660382,1.897202172,9.443501626,0.759249034,0.753565982,5.266306606,1.186344642,4.982260363,2.765173551,1.66356489,1.818985198,5.553475602,3.226793608
nitrogen_respiration,0.025862812,8.939277697,1.240940987,0.333425146,1.389916669,10.63586861,0.795685616,0.26211807,0.675995084,0.111158921,0.5859375,0.259007268,0.189488381,2.572972355,3.222500226,4.1726854,0.368117798,1.942625507,1.086435533,1.306319927,1.915619306,0.262167249,0.317480475,0.453761104,20.38947162,0.049497949,0.976670348,0.209323884,22.55920233,3.514767335,5.631197501,4.498739577,3.186600327,4.006186023,1.784600025,2.094525672
phototrophy,0.001436823,0,0,0.001449675,0.0016087,0,0.702855627,0.312976801,0.170180581,0.100401606,0.45440051,0.185557445,0.089757654,1.320792475,0.030144997,0.179880625,0.008002561,0.003118179,3.120839325,5.878439673,4.840442929,4.503898898,4.705060639,6.21844443,0.069782149,0.007071136,0,0.065787506,0,0.069055882,5.973860569,8.132635253,7.786091382,4.039325429,8.118058155,22.06732404
chemoheterotrophy,82.6805368,50.32250732,60.63643161,59.77443064,63.92973199,67.71254172,84.75819998,90.52853957,81.00122908,89.66222031,79.55596301,83.98793877,79.67487783,82.65244861,75.2660296,77.44405985,80.87387964,65.76551294,68.58390584,63.43513759,60.3279914,79.04006453,79.08438631,76.14239151,50.9867632,76.98698911,90.72335726,97.49409408,48.65891151,59.42878391,38.37826364,42.95908474,43.38562042,50.7327491,54.58005741,48.02448147
dark_sulfite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0.009973073,0.017153149,0.015072499,0,0.024007682,0,0,0,0,0,0,0,0.041433151,0.003535568,0.065571507,0.107652283,0.003323639,0.0194773,0,0,0,0,0,0
nitrogen_fixation,0.158050519,1.22041315,0.414126309,0.864006031,0.017695698,0.008782716,4.066837592,3.301905246,3.422520563,2.513625932,4.575892857,4.144116283,0.096406369,1.337945625,0.033159497,0.782208171,0.208066581,0.009354537,2.359269319,3.85243423,6.53646685,5.088733531,5.371769636,6.026714386,0.08068561,0.010606703,0,0.077748871,0.00083091,0.088533182,6.871455863,8.233469071,7.391089673,10.25848737,4.601896918,5.416524991
manganese_oxidation,0,0,0,0,0,0,0.03094333,0,0.023636192,0.003585772,0,0,0,0,0,0,0.008002561,0,0,0,0,0.006722237,0,0,0.002180692,0,0,0,0,0,0,0,0.003798093,0,0,0
manganese_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plant_pathogen,0.711227334,0.004262211,0.32209824,1.841086676,0.008043499,0.002195679,0.181239501,0.02738547,1.049446913,0.79962708,0.534119898,0.030926241,0.103055085,0.014294291,0.192927984,0.092665776,0.024007682,0.056127222,0.330191191,0.411248866,0.345745923,0.94783544,1.295320338,1.163162268,0.021806922,0.106067034,0.003451132,0.038874436,0.029081845,0.741908067,0.439700397,0.376187706,1.359717422,0.865306724,0.180955947,0.333219993
