Genus,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
[Eubacterium]_coprostanoligenes_group,0,0,0.001365355,0.076569678,0.001590331,0.003050687,0.009743107,0.01187588,0.015019807,0.004719727,0.003059039,0.001604647,0.276999832,0.700484951,0.028321433,0.388562615,0.700090753,2.246652572,0.040172567,0.020021478,0.016267834,0.030379747,0.010925721,0.033001122,0.021950283,0.020866662,0.052644309,0.03479108,0.008472422,0.037131339,0.087397025,0.081607338,0.107175915,0.104961994,0.034457213,0.059592726
[Eubacterium]_hallii_group,0,0,0,0,0,0,0,0,0,0,0,0,0.033668488,0,0,0,0.001852092,0.001409443,0.001746633,0,0,0,0,0,0,0,0.001422819,0.001739554,0.002824141,0,0.025895415,0.001632147,0.003247755,0,0.001722861,0.005107948
[Eubacterium]_nodatum_group,0,0,0,0,0,0,0,0,0,0,0,0,0.067336976,0.001539527,0.019377823,0.002966127,0.007408368,0.44397463,0,0.001820134,0.001626783,0.003375527,0,0,0.002743785,0,0.001422819,0,0.00141207,0.001768159,0,0,0.008119387,0.003385871,0.006891443,0.001702649
[Eubacterium]_ruminantium_group,0,0,0,0,0,0,0,0.015268989,0,0,0,0,0.076519291,0.28635209,0.044718053,0.019279824,0.096308781,0.015503876,0.0104798,0,0,0,0.004682452,0.014850505,0.004115678,0.004173332,1.750067584,0.006958216,0.011296563,0.008840795,0,0,0.003247755,0,0,0
[Eubacterium]_ventriosum_group,0,0,0,0,0,0,0,0,0,0,0,0,0.055093889,0.02925102,0.002981204,0.002966127,0,0.001409443,0,0.001820134,0.001626783,0.005063291,0,0.001650056,0,0,0,0,0,0.001768159,0.038843122,0.026114348,0,0.005078806,0.015505746,0.020431792
[Ruminococcus]_gauvreauii_group,0,0,0,0,0,0,0,0,0,0,0,0,0.001530386,0,0,0,0.10556924,0,0,0,0,0,0,0,0.001371893,0,0.001422819,0,0,0.001768159,0,0.003264294,0.001623877,0.001692935,0.006891443,0.011918545
Acetatifactor,0,0,0,0,0,0,0,0,0,0,0,0,0.001530386,0,0,0,0.131498528,0,0.001746633,0,0,0,0,0.001650056,0,0,0,0.001739554,0,0,0,0,0,0,0,0
Achromobacter,0,0,0,0,0,0,0.050339385,0.067862172,0.054446802,0.028318361,0.142245335,0.017651118,0,0,0.001490602,0,0,0,0.0104798,0.005460403,0.003253567,0.006751055,0,0.016500561,0,0.001391111,0,0,0,0,0.003236927,0.001632147,0,0,0.001722861,0.001702649
Acidibacter,0.00150184,0.001370821,0,0.001562646,0.001590331,0,1.550777825,1.530291977,1.744175131,1.293205167,2.44417253,1.227554999,0.074988905,0.001539527,0.001490602,0.007415317,0.003704184,0.002818887,1.977188968,2.313390728,2.11969872,2.499578059,2.83132248,2.220975513,0,0,0,0,0,0.001768159,0.338258857,0.997241672,0.492034881,0.502801808,0.251537653,0.539739835
Acidicaldus,0,0,0,0,0,0,0.047091683,0.076344943,0.099506224,0.050343753,0.052003671,0.001604647,0,0,0,0.002966127,0,0,0.099558102,0.200214776,0.195214003,0.124894515,0.216953597,0.133654544,0,0,0,0.001739554,0,0,0.048553903,0.079975191,0.113671425,0.121891347,0.008614303,0.056187428
