"","DS1_L_1","DS1_L_2","DS1_L_3","DS1_L_4","DS1_L_5","DS1_L_6","DS1_R_1","DS1_R_2","DS1_R_3","DS1_R_4","DS1_R_5","DS1_R_6","DS2_L_1","DS2_L_2","DS2_L_3","DS2_L_4","DS2_L_5","DS2_L_6","DS2_R_1","DS2_R_2","DS2_R_3","DS2_R_4","DS2_R_5","DS2_R_6","DS3_L_1","DS3_L_2","DS3_L_3","DS3_L_4","DS3_L_5","DS3_L_6","DS3_R_1","DS3_R_2","DS3_R_3","DS3_R_4","DS3_R_5","DS3_R_6"
"Bacillales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20891052040434,0,0,0,0,0,0,0,0,0.112359550561798,0
"Bacteroidales",30.2442807289647,0.162866449511401,26.5936510652862,39.102610196304,98.8322122571002,0.351167114232597,3.35195530726257,12.7118644067797,0.215285252960172,24,5.71748878923767,11.9644300727567,11.716621253406,16.5228113440197,7.29458917835671,6.1723602484472,5.65714285714286,6.19967793880837,27.7397260273973,34.0057636887608,29.6636085626911,30.1115241635688,35.5670103092784,23.4615384615385,35.2873563218391,16.3983526769,42.7272727272727,48.8095238095238,31.3663616282739,21.3432835820896,19.780888618381,11.2201963534362,9.1324200913242,11.7408906882591,5.89887640449438,8.00842992623815
"Bifidobacteriales",0,0.0077555452148286,0.00855651578677163,0,0.0093423019431988,0.0413137781450114,0,0,0,0,0,0,0.599455040871935,31.9358816276202,0.440881763527054,0.31055900621118,0.285714285714286,0,1.36986301369863,0,0,3.71747211895911,2.57731958762887,1.53846153846154,0,0.187195806813927,0,0,0.0473335437046387,0.895522388059702,0.608642726719416,1.26227208976157,1.59817351598174,2.42914979757085,0.449438202247191,0.737618545837724
"Burkholderiales",0.271423032183017,0.0077555452148286,0.00855651578677163,0,0,0,29.7951582867784,50.2824858757062,25.1883745963402,58,14.7982062780269,9.86257073565077,0,0,0.0400801603206413,0,0,0,11.3013698630137,8.93371757925072,8.25688073394496,5.94795539033457,14.4329896907216,11.1538461538462,0,0.0374391613627855,0,0,0,0,3.65185636031649,13.8849929873773,18.0365296803653,17.0040485829959,9.66292134831461,17.2813487881981
"Campylobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0.217983651226158,0.61652281134402,0.160320641282565,0.698757763975155,0.228571428571429,0,2.05479452054794,0.288184438040346,0.611620795107034,6.31970260223048,8.24742268041237,4.23076923076923,2.52873563218391,0.187195806813927,2.72727272727273,4.76190476190476,0.110444935310824,1.19402985074627,0,0,0.45662100456621,0,0,0.632244467860906
"Clostridiales",0.019387359441644,0.0077555452148286,0.00855651578677163,0.00719062342705113,0.0280269058295964,0,0.931098696461825,0.564971751412429,1.18406889128095,1,0.672645739910314,32.3362974939369,40.2724795640327,36.8680641183724,80.3206412825651,42.5854037267081,89.0285714285714,75.9259259259259,8.9041095890411,3.1700288184438,3.6697247706422,9.29368029739777,7.21649484536082,5.76923076923077,2.29885057471264,0.786222388618495,28.6363636363636,9.12698412698413,0.568002524455664,3.43283582089552,7.54716981132075,12.3422159887798,7.07762557077625,5.87044534412955,5.78651685393258,8.21917808219178
"Corynebacteriales",0,0,0,0,0,0,18.9944134078212,5.08474576271187,1.61463939720129,3.5,3.02690582959641,12.6111560226354,0,0.123304562268804,0.0400801603206413,0.0388198757763975,0.0571428571428571,0,0,0.576368876080692,1.52905198776758,3.3457249070632,0,5.38461538461539,0,77.4241856982404,0,0,0.0157778479015462,0.298507462686567,0.182592818015825,0.981767180925666,1.36986301369863,1.82186234817814,6.40449438202247,0.737618545837724
"Enterobacteriales",69.2322605661109,58.6629440049635,72.9528535980149,51.8587761558927,1.04633781763827,0.309853336087585,20.8566108007449,31.0734463276836,59.7416576964478,10,62.3318385650224,29.4260307194826,44.9591280653951,13.4401972872996,9.57915831663327,5.47360248447205,3.94285714285714,6.76328502415459,36.6438356164384,52.7377521613833,46.177370030581,39.4052044609665,30.4123711340206,47.6923076923077,9.77011494252874,2.62074129539498,24.5454545454545,35.3174603174603,1.19911644051751,14.0298507462687,58.6731588557517,48.6676016830295,51.8264840182648,38.2591093117409,63.8202247191011,55.1106427818757
"Legionellales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48012232415902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168539325842697,0
"Micrococcales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5475040257649,0,0,0,0,0,0.384615384615385,0,0,0,0,0,0,0,0,0,0.202429149797571,0,0
"Pasteurellales",0,0,0,0,0,0,0,0,0.107642626480086,0,0,0,0.490463215258856,0,2.12424849699399,0.0388198757763975,0.228571428571429,0,0,0,0,0,0,0,0,0.0374391613627855,0,0,0,0,2.37370663420572,3.64656381486676,4.10958904109589,3.03643724696356,0.730337078651685,3.47734457323498
"Pseudomonadales",0.232648313299729,41.1509229098806,0.427825789338581,9.03142302437621,0.0747384155455904,99.1324106589548,0.37243947858473,0.282485875706215,0.107642626480086,3.5,8.52017937219731,0,0.272479564032698,0.369913686806412,0,44.6816770186335,0.457142857142857,0.241545893719807,11.3013698630137,0.288184438040346,0.305810397553517,0.743494423791822,0.515463917525773,0,50.1149425287356,0.0374391613627855,0,1.19047619047619,66.6771852319344,58.6567164179104,6.51247717589775,7.99438990182328,5.93607305936073,8.09716599190283,5,4.84720758693361
"Rhodospirillales",0,0,0,0,0,0,0,0,0,0,0,0,1.36239782016349,0,0,0,0,0,0,0,0,0.371747211895911,0,0,0,0,0,0,0,0,0.182592818015825,0,0.228310502283105,1.01214574898785,1.62921348314607,0.421496311907271
