Order,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
Acidimicrobiales,0.004505519,0.001370821,0,0,0.001590331,0.003050687,0.319898672,0.310469437,0.251581773,0.217107437,0.428265525,0.336975882,0.133143565,0,0,0.001483063,0.001852092,0,0.693413446,0.9173477,0.940280783,1.996624473,1.744993679,1.315094713,0,0,0,0,0,0,0.166701733,0.257879188,0.14290122,0.08803264,0.146443154,0.095348362
Acidobacteriales,0.378463618,0.004112462,0.005461422,0.004687939,0.004770992,0.007626718,16.04364912,14.55982899,17.00429942,14.33695703,16.33374121,9.724161171,1.059026981,0.064660149,1.322163758,0.088983805,0.022225103,0.018322763,21.61633452,18.98036075,23.62577476,23.37383966,23.83524013,20.9029107,0.002743785,0.012519997,0.005691277,0.020874648,0.00141207,0.003536318,9.539223461,16.42918931,21.00323152,13.7567929,7.639164068,12.23864333
Aeromonadales,0.00300368,0.001370821,0.001365355,0,0.001590331,0,0.008119256,0,0.003754952,0.003146485,0.006118079,0.004813941,0,0,0.001490602,2.423325621,0,0,0.003493267,0,0,0.001687764,0.003121634,0,0,0,0,0,0,0,0,0.001632147,0.001623877,0,0.001722861,0.115780154
Anaeroplasmatales,0,0,0,1.581398256,0,0,0.001623851,0.003393109,0,0.13687208,0,0,0,0,0,0,0.001852092,0,0,0.001820134,0,0,0,0,0,0,0,0.001739554,0,0,0,0,0,0,0,0
AT425-EubC11_terrestrial_group,0,0,0,0,0,0,0,0,0,0,0.032119914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021040025,0,0.001623877,0.001692935,0.018951467,0.006810597
Bacillales,1.725613877,0.035641338,0.001365355,1.867362565,0.98759542,0,0.295540905,0.400386814,0.328558286,0.567940469,0.39767513,0.194162294,0.159160124,0.013855746,1.678417577,0.520555259,0.037041839,0.007047216,0.19212967,0.171092627,0.393681573,0.221097046,0.285629556,0.270609201,0.017834605,14.20880573,10.03514363,0.104373239,0.33748482,2.730037485,0.281612637,0.215443373,0.204608564,0.192994633,0.632289854,0.204317919
Bacteroidales,63.95284223,28.22794007,20.32604689,22.42397725,47.17080153,35.17747373,0.133155792,0.977215276,0.375495184,1.024180734,1.072193331,1.877437058,57.86082671,46.48141021,62.28330377,43.29655336,48.33589539,49.25017618,1.378093724,1.032016163,0.671861528,1.03628692,1.011409574,1.915715134,49.25917796,0.969604229,12.75699671,0.739310441,3.195515264,0.777989957,1.992328483,0.811176941,0.678780793,0.738119826,0.880381786,0.805353129
Bdellovibrionales,0,0,0,0,0,0,0.193238284,0.072951835,0.031917091,0.0409043,0.122361578,0.154046118,0.009182315,0.003079055,0.005962407,0.00444919,0.001852092,0,0.16593017,0.282120821,0.139903369,0.288607595,0.218514414,0.178206059,0.009603249,0.001391111,0,0,0.008472422,24.82495226,0.067975464,0.016321468,0.034101427,0.130356024,0.124045966,0.105564258
Bifidobacteriales,0.004505519,0.001370821,0.002730711,0.37503516,0.001590331,0.152534358,0.006495405,0,0.003754952,0.007866211,0.007647599,0.001604647,0.021425401,0.423370025,0.028321433,0.185382927,0.016668827,0,0.013973067,0,0.001626783,0.018565401,0.009364903,0.013200449,0.001371893,0.008346665,0.004268458,0.001739554,0.008472422,0.01768159,0.029132342,0.017953614,0.016238775,0.037244578,0.024120049,0.030647688
Burkholderiales,1.905834647,9.462775364,34.24857662,7.328812076,2.611323155,8.843942098,17.43691338,24.86469979,17.83414378,25.31032204,13.36188437,20.08376258,1.994092711,2.692633362,4.382369162,5.663819185,0.216694757,6.37491191,11.46140814,7.209552065,9.876201786,3.564556962,3.593001295,5.014520494,1.647643088,35.31752104,14.63796366,0.864558327,23.3528199,10.97142655,6.244031916,8.239076858,8.017083191,5.346289932,7.604706855,7.280528502
C0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001820134,0,0,0,0,0,0,0,0,0,0,0.053409293,0.008160734,0.00649551,0.033858708,0.067191565,0.015323844
Campylobacterales,0.004505519,0.001370821,0.001365355,0,0,0.001525344,0,0.001696554,0,0.02045215,0.00152952,0.121953176,1.121772799,1.350165499,0.07602069,0.756362342,2.102124349,0.222692037,0.043665834,0.020021478,0.0195214,0.057383966,0.07335841,0.061052076,0.053503814,0.029213327,0.029879203,0.046967957,0.021181056,0.031826862,9.338533996,4.19951362,3.949270067,0.543432257,0,0.010215896
Catenulisporales,0,0,0,0,0.001590331,0,0,0.003393109,0,0,0.00152952,0,0,0,0,0,0,0,0.047159101,0.005460403,0,0.001687764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacterales,0.057069911,0.567519774,9.020903592,5.661468263,9.631043257,0.077792523,0.888246566,0.807559846,0.687156187,0.98012995,0.939125115,1.776344293,0.702447087,1.126934031,0.807906152,0.452334342,0.042598115,0.848484848,2.436553543,1.88929943,1.255876755,1.751898734,1.760601851,1.975117154,2.326729957,2.746052723,3.275329738,0.189611384,1.104239035,0.05304477,0.993736547,1.317142437,1.196797714,1.508405424,3.302723843,2.376898454
Cellvibrionales,0,0,0,0,0,0,0,0,0,0,0,0,0.003060772,0.001539527,0.002981204,0,0.005556276,0,0,0,0,0,0,0,0.002743785,0.004173332,0.008536915,0.003479108,0.004236211,0.005304477,0,0,0,0,0,0
Chlorobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038843122,0.044067963,0.05196408,0.115119606,0.10854022,0.093645713
Chloroflexales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046935439,0,0,0.001692935,0,0
Chromatiales,0,0,0,0,0,0,0.287421649,0.140814007,0.063834181,0.036184573,0.197308045,0.070604471,0,0,0,0.001483063,0,0,0.654987512,1.397863162,0.422963674,0.926582278,0.980193229,0.84647878,0,0,0,0,0,0,1.17014906,0.107721686,0.047092447,0.17606528,0.201574695,0.114077505
Chthoniobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082091768,0.238437597,0.068324901,0.075949367,0.054628604,0.044551515,0,0,0,0,0,0,0,0,0.003247755,0,0,0
Clostridiales,15.07696929,12.10845933,0.477874415,25.34300091,14.47996183,34.87393035,0.339384885,0.303683219,0.088241368,0.505010777,0.183542368,1.336670999,22.76142816,20.31714264,13.14114508,21.22856973,43.42785176,26.46229739,0.958901717,0.553320835,1.381139074,0.823628692,0.711732663,0.810177546,0.570707348,17.28176949,34.99708322,42.09024806,2.440057612,0.71964071,8.895075016,7.098206271,10.3684578,5.507118793,2.086384232,2.473949465
Coriobacteriales,0,0,0,0,0,0.001525344,0,0,0,0,0,0,0.312198705,0.015395274,0.019377823,3.188586344,0.00926046,0.82311487,0.001746633,0,0.003253567,0.010126582,0.001560817,0,0,0.001391111,0.001422819,0,0.00141207,0.003536318,0.097107806,0.019585761,0.014614897,0.035551643,0.46000379,0.161751686
Corynebacteriales,0.00300368,0.005483283,0.002730711,0.071881739,0.025445293,0.083893897,0.910980481,1.111243065,0.797927267,0.720544971,0.802997859,1.582181999,0.111718164,0.006158109,0.047699256,0.007415317,0.038893931,0.009866103,0.136237402,0.216595985,0.265165688,0.219409283,0.248169942,0.259058808,0.006859463,5.895527579,0.960402942,0.010437324,0.110141489,0.051276611,0.299415735,0.174639704,0.168883259,0.191301698,0.885550368,0.323503371
Cytophagales,0,0.619610961,0.001365355,0,0,0.001525344,0.02922932,0.01187588,0.030039615,0.037757815,0.1162435,0.001604647,0,0,0,0,0,0,0.054145634,0.116488597,0.082965951,0.065822785,0.082723314,0.079202693,0,0,0.001422819,0,0,0,0.040461586,0.011425027,0.01948653,0.016929354,0.022397188,0.010215896
Deferribacterales,0,0.008224924,0,0,0,0,0,0,0,0,0,0.008023235,0.009182315,0.009237164,0.017887221,0.00889838,0.455614617,0.012684989,0.012226434,0.010920806,0.0097607,0.008438819,0.007804086,0.009900337,0.008231356,0.002782222,0.007114096,0.010437324,0.012708633,0.012377113,0,0,0,0.003385871,0.001722861,0
Desulfobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05059655,0.212727952,0.042323385,0,0.015323844
Desulfovibrionales,0.012014718,8.601899958,0.008192133,0.003125293,0.004770992,7.368934853,0,0.02375176,0,0,0.00152952,0.004813941,0.639701269,0.429528135,1.135838538,0.357418283,0.638971719,8.040873855,0.0261995,0.020021478,0.318849539,0.01350211,0.018729807,0.023100785,0.004115678,0.005564443,0.009959734,0.022614202,0.009884493,0.328877573,1.501934064,0.408036691,0.467676718,0.766899727,0.570266871,0.548253082
Desulfuromonadales,0.563189908,0.001370821,0.001365355,0,0,0,0.003247702,0,0,0,0,0,0,0,0.005962407,0.007415317,0,0.005637773,4.990131521,3.876886114,4.188967155,0.288607595,0.293433642,0.273909313,0.001371893,0.001391111,0,0.001739554,0,0.001768159,1.675109651,1.264913741,1.242266283,1.394978754,1.355891322,0.572090172
Enterobacteriales,7.208830818,10.87060823,17.53662566,16.50154702,11.90521628,0.045760308,0.824916372,0.295200448,2.053958658,0.931359439,1.613643316,0.609765882,2.964357314,0.372565622,0.596240702,0.256569971,0.155575723,0.183227625,0.272474805,0.498716805,0.413202974,0.275105485,0.131108648,0.255758696,0.137189266,0.125199972,0.078255055,0.229621125,0.166624305,0.185656694,2.259374949,0.853612757,0.846040175,0.563747482,3.821304895,1.498331404
Erysipelotrichales,0.094615904,3.810881575,0.004096066,0.961027596,4.923664122,0.001525344,0,0.013572434,0.00938738,0.006292969,0.00152952,0.006418588,2.442495753,5.052728812,2.316395129,0.928397698,0.17224455,1.55179704,0.013973067,0.061884567,0.022774967,0.016877637,0.02809471,0.036301234,0.006859463,0.006955554,0.836617674,0.006958216,0.008472422,0.007072636,0.111673977,0.058757283,0.047092447,0.04401632,0.118877384,0.091943063
Fibrobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637674592,0.50433335,0.371867946,0.363981107,0.48756956,0.139617244
Flavobacteriales,3.093789893,0.010966566,0,0.081257618,0,0.001525344,0.047091683,0.008482771,0.005632428,0,0.17283573,0.293650412,0.061215432,1.497960126,0.049189858,1.190899923,0.103717149,0,0.013973067,0.01274094,0,0.003375527,0,0.001650056,0.113867091,0.041733324,0.079677874,0.111331455,0.680617922,4.217059198,0.074449318,0.035907229,0.086065507,2.073845841,1.478214427,1.248041953
Frankiales,0.00150184,0.005483283,1.092284376,0.009375879,0,0,0.704751388,0.447890335,0.666503952,0.493998081,0.905475681,0.662719235,0,0.001539527,0,0.001483063,0,0.002818887,0.953661817,1.30867658,1.023246734,0.992405063,0.760117998,1.014784503,0.001371893,0.001391111,0,0.029572418,0,0,0.244387978,0.649594412,0.524512431,0.909106299,0.516858191,0.783218688
Fusobacteriales,0.00300368,0.001370821,0,0.001562646,0,0,0.01461466,0,0.024407187,0.012585938,0.030590395,0.009627882,0.001530386,0,0.202721839,0.229874829,0,0,0.0104798,0,0.00488035,0.008438819,0.012486538,0.008250281,0.030181639,0,0.014228192,0.013916432,0.00141207,0.005304477,0.072830854,0.024482201,0.042220815,0.04401632,0.051685819,0.045971532
Gaiellales,0,0,0.001365355,0,0,0,0.224091455,0.266359025,0.199012448,0.210814468,0.56898134,0.205394823,0.503496932,0,0,0.00889838,0.005556276,0,1.255829389,1.305036312,0.937027216,1.635443038,1.865176606,1.62530526,0,0,0.001422819,0,0,0,0.501723664,0.515758377,0.563485491,1.166432477,0.852816016,0.784921338
Gemmatimonadales,0,0,0,0,0,0,0.176999773,0.154386441,0.052569326,1.017887765,0.16824717,0.112325294,0.299955619,0.007697637,0.032793239,0.00444919,0.005556276,0.005637773,2.069760537,3.547441801,4.792503782,2.165400844,2.113346548,1.958616593,0.001371893,0,0,0.003479108,0,0.001768159,1.741466652,2.172387341,2.601451746,1.826677276,1.411022862,2.439896479
GR-WP33-30,0,0,0,0,0,0,0,0.001696554,0,0,0.021413276,0,0,0,0,0,0,0,0.050652368,0.036402687,0.001626783,0.047257384,0.051506969,0.034651178,0,0,0,0,0,0,0,0.024482201,0.01948653,0.018622289,0,0.027242389
Holophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005460403,0.013014267,0,0,0.008250281,0,0,0,0,0,0,1.094081279,0.445576066,0.576476511,0.416462104,1.190496701,2.834911122
Hydrogenophilales,0,0.001370821,0,0.003125293,0.006361323,0.004576031,0,0,0,0.001573242,0,0,0,0,0,0.001483063,0,0,0,0,0,0,0.001560817,0,0,0,0,0,0,0,1.701005066,0.150157502,1.125347104,0.275948467,0.48756956,0.761084247
Ignavibacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120381969,0,0.001560817,0,0,0,0,0,0,0,1.05685662,1.672950432,3.330572742,2.652829741,1.023379219,2.177688483
Ktedonobacterales,0,0,0,0,0,0,0,0.005089663,0,0,0,0.041720824,0,0,0,0,0,0,0,0.007280537,0,0,0,0.008250281,0,0,0,0,0,0,0,0.001632147,0,0,0,0
Lactobacillales,0.009011039,3.706699201,0.008192133,0.571928618,0.009541985,0.010677405,0.050339385,0.003393109,0.005632428,0.003146485,0.003059039,0.117139235,4.548306628,2.892771919,3.06467721,2.498961856,3.70788806,3.279774489,0.183396503,0.160171821,0.131769452,0.183966245,0.162324993,0.250808527,0.370411019,0.133546637,0.22338261,0.253974881,1.351351351,0.141452719,0.467735932,0.163214676,0.133157955,0.15405712,0.198128973,0.231560308
Legionellales,0,0.001370821,0,0,0,0,0.066577896,0.061075955,0.052569326,0.018878908,0.272254512,0.051348706,0,0,0,0.001483063,0.007408368,0,0.420938641,0.271200015,0.115501619,0.330801688,0.362109601,0.51646756,0,0,0,0,0,0,0.098726269,0.109353833,0.056835712,0.13204896,0.199851834,0.337124566
Lineage_IIa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001692935,0.005168582,0.022134441
Methylococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012947707,0.008160734,0.004871632,0.033858708,0.058577262,0.023837091
Methylophilales,0,0,0.001365355,0.001562646,0,0.001525344,0.04384398,0.006786217,0.007509904,0.001573242,0.018354237,0.003209294,0,1.194673235,2.304470315,0.038559649,0.001852092,0.001409443,0.043665834,0.045503358,0.657220478,0.011814346,0.021851441,0.028050954,0.006859463,0.079293316,2.398873127,0.005218662,0.482928069,2.52846736,0.072830854,0.158318236,0.172131014,0.199766375,0.056854401,0.139617244
Micrococcales,0.094615904,3.194012255,0.05734493,1.192299278,0.687022901,0.173889169,0.087687961,0.030537977,0.026284663,0.069222661,0.022942796,0.195766941,0.032138102,0.030790547,1.204406219,0.017796761,0.033337655,0.198731501,0.122264335,0.045503358,0.242390721,0.089451477,0.037459614,0.074252525,0.021950283,0.023648884,3.350739155,0.574052813,0.025417267,0.031826862,0.365772735,0.272568509,0.227342849,0.529888774,0.682252813,0.956888919
Micromonosporales,0.438537208,1.547656582,6.899141191,0,0,0.001525344,0.006495405,0.04750352,0.046936898,0.017305665,0.006118079,0,0,0.001539527,0.002981204,0,0,0,0,0.001820134,0.0097607,0.001687764,0.003121634,0.019800673,0,0,0.001422819,0,0,0.003536318,0.072830854,0.039171522,0.024358162,0.052480997,0.239477629,0.117482803
Mollicutes_RF9,0,0,0,0,0,0,0,0,0,0,0,0,0.309137934,0,0.011924814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myxococcales,0,0,0,0,0,0.001525344,0.344256439,0.575131907,0.615812102,0.391737331,0.504741511,0.850462941,0.062745818,0.012316219,0.104342123,0.005932254,0.001852092,0,1.30298849,1.0392967,0.722291812,0.725738397,0.83815886,1.036235232,0,0,0,0.001739554,0,0.001768159,0.998591937,0.517390524,0.79082834,0.48756539,0.885550368,1.328066471
Neisseriales,0.00300368,0,0.027307109,0,0.033396947,0.030506872,0.053587087,0,0.043181946,0.042477542,0,0,0,0.001539527,0.047699256,0,0,0,0.041919201,0.023661746,0.148037286,0.187341772,0.202906242,0.013200449,0,0,0,0,0,0,0.064738537,0.236661281,0.112047547,0.152364184,0.165394621,0.22645236
Nitrosomonadales,0.004505519,0.001370821,0.001365355,0,0,0,0,0,0.001877476,0.001573242,0,0.163674,0,0,0,0,0,0,0.008733167,0.010920806,0.003253567,0.010126582,0.007804086,0.011550393,0,0,0,0,0,0,0.265428003,0.254614895,0.495282636,0.323350658,0.208466137,0.122590751
Nitrospirales,0.00150184,0,0,0,0,0,0.012990809,0.003393109,0.001877476,0,0,0,0,0,0,0.00444919,0,0,0.029692767,0.003640269,0.001626783,0.030379747,0.057750238,0.004950168,0.001371893,0,0,0,0,0.005304477,0.220111027,0.062021577,0.055211835,0.076182092,0.037902934,0.192399373
