,Group,variable,allmean,sd1,n1,se1,enrichment,max_mean,top,enrichstages,enrichcompartment,STAGES,Stageord
7,Elongation_L,Enterobacteriales,0.119860911,0.034336502,6,0.014017818,Seedling_L,6.473963683,1,Seedling,L,Elongation_L,3
1,Elongation_L,Bacteroidales,0.739705061,1.026996319,6,0.419269491,Seedling_L,5.327148994,2,Seedling,L,Elongation_L,3
10,Elongation_L,Pseudomonadales,1.211175146,2.351551735,6,0.960016976,Seedling_L,2.775899174,3,Seedling,L,Elongation_L,3
5,Elongation_L,Clostridiales,0.04630012,0.022881153,6,0.009341192,Tillering_L,1.736670754,4,Tillering,L,Elongation_L,3
6,Elongation_L,Corynebacteriales,0.480294254,1.174052462,6,0.479304911,Elongation_L,0.480294254,5,Elongation,L,Elongation_L,3
3,Elongation_L,Burkholderiales,0.000231852,0.000567919,6,0.000231852,Seedling_R,0.293964661,6,Seedling,R,Elongation_L,3
12,Elongation_L,Xanthomonadales,0.002285003,0.001539973,6,0.000628691,Seedling_R,0.095555181,7,Seedling,R,Elongation_L,3
2,Elongation_L,Bifidobacteriales,0.003633453,0.004464599,6,0.001822665,Tillering_L,0.07551557,8,Tillering,L,Elongation_L,3
9,Elongation_L,Pasteurellales,0.000231852,0.000567919,6,0.000231852,Elongation_R,0.039794055,9,Elongation,R,Elongation_L,3
4,Elongation_L,Campylobacterales,0.01509642,0.008925485,6,0.003643814,Elongation_L,0.01509642,10,Elongation,L,Elongation_L,3
19,Elongation_R,Enterobacteriales,0.943798989,0.674117931,6,0.275207493,Seedling_L,6.473963683,1,Seedling,L,Elongation_R,3
13,Elongation_R,Bacteroidales,0.188336571,0.169842154,6,0.069337769,Seedling_L,5.327148994,2,Seedling,L,Elongation_R,6
22,Elongation_R,Pseudomonadales,0.101300441,0.051162853,6,0.020887147,Seedling_L,2.775899174,3,Seedling,L,Elongation_R,6
17,Elongation_R,Clostridiales,0.125669167,0.063594518,6,0.025962353,Tillering_L,1.736670754,4,Tillering,L,Elongation_R,6
18,Elongation_R,Corynebacteriales,0.04159746,0.07591641,6,0.030992745,Elongation_L,0.480294254,5,Elongation,L,Elongation_R,6
15,Elongation_R,Burkholderiales,0.184124958,0.083176319,6,0.03395659,Seedling_R,0.293964661,6,Seedling,R,Elongation_R,6
24,Elongation_R,Xanthomonadales,0.020242439,0.033588153,6,0.013712306,Seedling_R,0.095555181,7,Seedling,R,Elongation_R,6
14,Elongation_R,Bifidobacteriales,0.014709625,0.003268638,6,0.001334416,Tillering_L,0.07551557,8,Tillering,L,Elongation_R,6
21,Elongation_R,Pasteurellales,0.039794055,0.016979046,6,0.006931666,Elongation_R,0.039794055,9,Elongation,R,Elongation_R,6
