"","DS1_L_1","DS1_L_2","DS1_L_3","DS1_L_4","DS1_L_5","DS1_L_6","DS1_R_1","DS1_R_2","DS1_R_3","DS1_R_4","DS1_R_5","DS1_R_6","DS2_L_1","DS2_L_2","DS2_L_3","DS2_L_4","DS2_L_5","DS2_L_6","DS2_R_1","DS2_R_2","DS2_R_3","DS2_R_4","DS2_R_5","DS2_R_6","DS3_L_1","DS3_L_2","DS3_L_3","DS3_L_4","DS3_L_5","DS3_L_6","DS3_R_1","DS3_R_2","DS3_R_3","DS3_R_4","DS3_R_5","DS3_R_6"
"[Eubacterium]_hallii_group",0,0,0,0,0,0,0,0,0,0,0,0,0.0336684878257809,0,0,0,0.00185209193784379,0.00140944326990839,0.00174663336419052,0,0,0,0,0,0,0,0.00142281917391119,0.00173955397835995,0.00282414075517524,0,0.0258954148931005,0.0016321467626369,0.0032477549893636,0,0.00172286063780301,0.00510794796703671
"[Eubacterium]_ventriosum_group",0,0,0,0,0,0,0,0,0,0,0,0,0.0550938891694596,0.0292510199368794,0.00298120351185774,0.00296612683158332,0,0.00140944326990839,0,0.00182013432591325,0.00162678336125978,0.00506329113924051,0,0.00165005610190746,0,0,0,0,0,0.00176815899285664,0.0388431223396507,0.0261143482021903,0,0.00507880614196956,0.0155057457402271,0.0204317918681468
"Achromobacter",0,0,0,0,0,0,0,0,0,0,0.0428265524625268,0,0,0,0.00149060175592887,0,0,0,0,0,0,0,0,0,0,0.00139111080197538,0,0,0,0,0.00323692686163756,0,0,0,0.00172286063780301,0.00170264932234557
"Acinetobacter",0,0,0,1.22824014751383,0.00159033078880407,0,0,0,0,0.00157324229504586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17317558709761,0.0930323654703031,0.0422208148617268,0.0677174152262608,0.153334596764468,0.0783218688278962
"Bacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820755373165473,0,0,0,0,0,0,0,0,0.00344572127560602,0
"Bacteroides",0.00150183975369828,0.00822492426215575,4.23533266886034,8.48517048473294,0.00318066157760814,0.00457603075092665,0.00162385112532883,0.0678621719288126,0,0.00157324229504586,0,0,0.0045911574307883,0.00153952736509891,0.00298120351185774,0.00148306341579166,0.00185209193784379,0.0324171952078929,0.00523990009257157,0.0637047014069638,0.0292821005026761,0.00675105485232068,0,0.00495016830572239,0.00274378532623608,0.00417333240592613,0.00284563834782238,0.0034791079567199,0.00141207037758762,0.00884079496428319,0.375483515949957,0.0767108978439341,0.0422208148617268,0.0660244798456043,0.0999259169925745,0.0647006742491316
"Bifidobacterium",0,0.00137082071035929,0.00136535547029669,0,0.00159033078880407,0.00305068716728443,0,0,0,0,0,0,0.00153038581026277,0.381802786544531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161846343081878,0.0146893208637321,0.0113671424627726,0.0118505476645956,0.0137828851024241,0.011918545256419
"Bordetella",0,0,0,0,0,0,0.00162385112532883,0,0,0,0,0,0,0,0,0,0,0,0,0.00728053730365301,0,0,0,0,0,0,0,0,0,0,0.0873970252642142,0.0865037784197555,0.0990565271755899,0.121891347407269,0.282549144599693,0.23837090512838
"Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0.00612154324105107,0.00769763682549457,0.00596240702371547,0.0266951414842499,0.00740836775137518,0,0.0104798001851431,0.00182013432591325,0.00325356672251956,0.0286919831223629,0.0249730759025426,0.0181506171209821,0.0301816385885968,0.00695555400987689,0.00853691504346713,0.0208746477403194,0.00988449264311333,0.0141452719428531,0,0,0.0032477549893636,0,0,0.0102158959340734
"Coprococcus_1",0,0,0,0.0015626464981092,0,0,0.00811925562664415,0.00339310859644063,0.0168972832923418,0.00471972688513758,0.00917711838482716,0.00641858823151848,0.460646128889093,0.0261719652066815,2.90518282230536,0.0163136975737083,0.409312318263479,0.100070472163495,0.0157197002777147,0.0036402686518265,0.00650713344503912,0.0118143459915612,0.00780408621954455,0.0115503927133523,0.00137189266311804,0.00973777561382764,0.00284563834782238,0.00695821591343979,0.00564828151035048,0.00530447697856991,0.00161846343081878,0,0.0032477549893636,0,0.00172286063780301,0.0102158959340734
