genus,SRR30617128,SRR30617129,SRR30617130,SRR30617131,SRR30617132,SRR30617133,SRR30617134,SRR30617135,SRR30617136,SRR30617137,SRR30617138,SRR30617139,SRR30617140,SRR30617141,SRR30617142,SRR30617143,SRR30617144,SRR30617145,SRR30617146,SRR30617147,SRR30617148,SRR30617149,SRR30617150,SRR30617151,SRR30617152,SRR30617153,SRR30617154,SRR30617155,SRR30617156,SRR30617157,SRR30617158,SRR30617159,SRR30617160,SRR30617161,SRR30617162,SRR30617163,SRR30617164,SRR30617165,SRR30617166,SRR30617167,SRR30617168,SRR30617169,SRR30633102,SRR30633103,SRR30633104,SRR30633105,SRR30633106,SRR30633107,SRR30633108,SRR30633109,SRR30633120,SRR30633121,SRR30633190,SRR30633191,SRR30633192,SRR30633193,SRR30633194,SRR30633195,SRR30633196,SRR30633197,SRR30633208,SRR30633209,SRR30633243,SRR30633244,SRR30633245,SRR30633246,SRR30633247,SRR30633248,SRR30633249,SRR30633250,SRR30633251,SRR30633252,SRR30633253,SRR30633254,SRR30633255,SRR30633266,SRR30633267,SRR30633297,SRR30633298,SRR30633299,SRR30633300,SRR30633301,SRR30633302,SRR30633303,SRR30633312,SRR30633313,SRR30663788,SRR30663789,SRR30663790,SRR30663791,SRR30663792,SRR30663793,SRR30663794,SRR30663795,SRR30663806,SRR30663807,SRR30663808,SRR30663809,SRR30663810,SRR30663811,SRR30663812,SRR30663813,SRR30663814,SRR30663815,SRR30663826,SRR30663827,SRR30663829,SRR30663830,SRR30663831,SRR30663832,SRR30663833,SRR30663834,SRR30663835,SRR30663845,SRR30663846,SRR30663862,SRR30663863,SRR30663864,SRR30663865,SRR30663866,SRR30663869,SRR30663870,SRR30663874,SRR30663875,SRR30663876,SRR30663877,SRR30663878,SRR30663883,SRR30663884,SRR30663908,SRR30663909,SRR30663910,SRR30663911,SRR30663912,SRR30663918,SRR30663919,SRR30663920,SRR30663921,SRR30663922,SRR30663923,SRR30663924,SRR30663925,SRR30663926,SRR30663927,SRR30663936,SRR30663937,SRR30664010,SRR30664011,SRR30664012,SRR30664013,SRR30664014,SRR30664015,SRR30664016,SRR30664017,SRR30664028,SRR30664029,SRR30688664,SRR30688665,SRR30688666,SRR30688667,SRR30688668,SRR30688669,SRR30688670,SRR30688680,SRR30688681
[Eubacterium]_hallii_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073820714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004267122,0.002577154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044392218,0.005103864,0,0,0,0,0,0,0,0,0,0,0.032767786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000822132,0,0,0,0,0,0,0,0.0042244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878866,0,0,0,0,0,0,0,0,0.003433152,0.007168844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022571974
Arsenophonus,0.009062075,0,0.004213454,0,0,0,0.002392058,0,0.002224793,0.004955893,0,5.894379742,0.022166498,0.025597426,0,0,0,0,0.004921381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005502467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011469205,0,0.012724265,0,0,0.021039344,0,0,0,0,0,0,0.055977609,0.034530387,0,0,0,0,0,0,0,0,0,0,0,0,0.00325648,0,0.022078304,0.010060362,0,0.075301205,0,0,0,0,0,0,0,0,0.027910281,0.000711921,0,0.005772339,0,0,0,0,0,0,0,0,0,0.000224825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001410676,0,0,0,0,0,0,0.001673976,0,0,0,0.003323639,0,0,0,0.001425964,0,0,0,0.024933829,0.000975515,0,0,0,0,0,0.003373165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009233989
Bacillus,0.006796556,0.465317606,0.176965049,0.441445944,0.48106629,0.770668584,0.221265399,0.781428506,0.142386758,0.928403872,0.034212402,0.081782247,0.07896815,0.18649553,0.766283525,0.083561823,0.219466136,1.314281705,0.989197569,0.280112045,0.164929561,0.031600275,0.58745583,0.069036467,1.512547267,0.644519422,0.00855593,0.27306488,0.043134436,0.163467804,0.285725948,0.156017431,0.088039471,0.129654855,0.185806035,0.073926556,0.162552067,0.054442138,0.610405968,0.013689879,0.117259341,0.029502877,0,0,0,0.002995537,0,0.002853963,0.006021557,0,0,0.026151605,0.018120319,0.02293841,0.055991041,0.012724265,0,0.018491124,0,0,0.016884762,0.054473648,0.063240198,0,0.108408429,0,0,2.224539451,0.024151673,0,0,0,0.022563177,0.023927261,0,0.013888889,0.003179954,0.02169668,0.033290333,0.009769441,0.009527893,0.055195761,0.040241449,0.028743892,0.010757315,0.015311591,0.028375838,0.00711187,0.002577154,0.108998236,0.006577054,0.04790788,0.023872265,0.01945262,0.014950344,0.039374098,0.017317017,0.018759086,0.31260561,0,0,0.021891419,0,0.038417211,0.026988125,0.011630612,0.018210841,0.139934193,0.005471357,0.014979777,0.115312736,0.05270489,0.060172494,0.070414706,0.159450509,0,0.001160537,0,0,0,0,0,0.028268551,0,0.03879359,0.029145597,0.001772845,0,0,0.000796261,0.035607737,0.012554823,0.007909793,0.005993766,0.030672659,0.00166182,0.044216958,0,0.02459533,0.019963495,0.01606516,0.066946469,0.016129899,0.009589934,0.020485806,0,0.003499195,0.006449948,0,0.026904623,0.026985318,0.021886052,0.006847074,0.004391666,0.008675069,0.017033504,0,0,0,0.036433559,0.006395242,0.05893877,0.002793023,0.018965307,0.065663924
Bibersteinia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262017055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002422217,0,0,0,0,0,0,0,0,0.001757732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia,0,0,0,0,0,0.002875629,0,0,0,0,0,0,0,0,0.018244846,0,0.035727045,0.00233858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006844939,0,0.00268208,0,0.0098655,0,0.002995537,0,0.019977739,0,0.008111616,0,0.003735944,0,0.068815231,0,0,0,0.009245562,0.010519672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004161292,0.006512961,0.019055786,0,0.006706908,0,0.016135972,0,0.010640939,0.005689496,0.001288577,0.033718879,0.012331977,0.073572816,0.003672656,0.006766129,0.002135763,0.081664795,0.023089356,0.009379543,0.0126732,0,0.00707689,0.010945709,0,0.038417211,0,0,0.003597203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004611624,0.000712982,0,0,0,0.024933829,1.002828992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002051998
Campylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006122699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002604913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14906159,0.015993603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Xiphinematobacter,0,0,0,0,0,0,0,0,0,0,0,0,0.001385406,0,0,0,0,0,0,0.004244122,0.077883404,0.026023756,0.022084806,0,0,0,0,0,0,0.001143131,0,0,0,0,0,0,0.017779132,0,0,0,0,0.00134104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005772339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002422217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01691501,0,0,0,0,0,0
Clostridium_sensu_stricto_1,0,0,0,0,0,0.002875629,0,0,0,0,0,0,0,0,0.009122423,0,0.005103864,0,0.066438643,0,0,0,0,0,0,0,0.003422372,0,0,0.016003841,0,0.005379911,0,0.006564803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003735944,0,0.034407616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00704672,0,0,0,0,0,0,0,0,0.004161292,0,0,0,0.010060362,0,0,0,0,0.009956618,0.011597191,0.018819839,0,0.000855498,1.349701138,0.005074597,0.004271527,0,0,0,0,0,0,0,0,0,0.004498021,0,0.000674476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006055541,0.016928112,0.016758718,0,0,0,0,0,0,0,0,0,0,0,0,0.001537208,0.001425964,0,0,0.010753266,0,0,0,0,0,0.016310795,0.007473506,0,0,0,0.007026666,0,0,0,0,0,0,0.000799405,0,0.000698256,0.000677332,0.001025999
Coprococcus_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147312446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
