genus,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
[Eubacterium]_hallii_group,0,0,0,0,0,0,0,0,0,0,0,0,0.033668488,0,0,0,0.001852092,0.001409443,0.001746633,0,0,0,0,0,0,0,0.001422819,0.001739554,0.002824141,0,0.025895415,0.001632147,0.003247755,0,0.001722861,0.005107948
[Eubacterium]_ventriosum_group,0,0,0,0,0,0,0,0,0,0,0,0,0.055093889,0.02925102,0.002981204,0.002966127,0,0.001409443,0,0.001820134,0.001626783,0.005063291,0,0.001650056,0,0,0,0,0,0.001768159,0.038843122,0.026114348,0,0.005078806,0.015505746,0.020431792
Achromobacter,0,0,0,0,0,0,0,0,0,0,0.042826552,0,0,0,0.001490602,0,0,0,0,0,0,0,0,0,0,0.001391111,0,0,0,0,0.003236927,0,0,0,0.001722861,0.001702649
Acinetobacter,0,0,0,1.228240148,0.001590331,0,0,0,0,0.001573242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173175587,0.093032365,0.042220815,0.067717415,0.153334597,0.078321869
Bacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082075537,0,0,0,0,0,0,0,0,0.003445721,0
Bacteroides,0.00150184,0.008224924,4.235332669,8.485170485,0.003180662,0.004576031,0.001623851,0.067862172,0,0.001573242,0,0,0.004591157,0.001539527,0.002981204,0.001483063,0.001852092,0.032417195,0.0052399,0.063704701,0.029282101,0.006751055,0,0.004950168,0.002743785,0.004173332,0.002845638,0.003479108,0.00141207,0.008840795,0.375483516,0.076710898,0.042220815,0.06602448,0.099925917,0.064700674
Bifidobacterium,0,0.001370821,0.001365355,0,0.001590331,0.003050687,0,0,0,0,0,0,0.001530386,0.381802787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016184634,0.014689321,0.011367142,0.011850548,0.013782885,0.011918545
Bordetella,0,0,0,0,0,0,0.001623851,0,0,0,0,0,0,0,0,0,0,0,0,0.007280537,0,0,0,0,0,0,0,0,0,0,0.087397025,0.086503778,0.099056527,0.121891347,0.282549145,0.238370905
Campylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0.006121543,0.007697637,0.005962407,0.026695141,0.007408368,0,0.0104798,0.001820134,0.003253567,0.028691983,0.024973076,0.018150617,0.030181639,0.006955554,0.008536915,0.020874648,0.009884493,0.014145272,0,0,0.003247755,0,0,0.010215896
Coprococcus_1,0,0,0,0.001562646,0,0,0.008119256,0.003393109,0.016897283,0.004719727,0.009177118,0.006418588,0.460646129,0.026171965,2.905182822,0.016313698,0.409312318,0.100070472,0.0157197,0.003640269,0.006507133,0.011814346,0.007804086,0.011550393,0.001371893,0.009737776,0.002845638,0.006958216,0.005648282,0.005304477,0.001618463,0,0.003247755,0,0.001722861,0.010215896
