order,SRR30617128,SRR30617129,SRR30617130,SRR30617131,SRR30617132,SRR30617133,SRR30617134,SRR30617135,SRR30617136,SRR30617137,SRR30617138,SRR30617139,SRR30617140,SRR30617141,SRR30617142,SRR30617143,SRR30617144,SRR30617145,SRR30617146,SRR30617147,SRR30617148,SRR30617149,SRR30617150,SRR30617151,SRR30617152,SRR30617153,SRR30617154,SRR30617155,SRR30617156,SRR30617157,SRR30617158,SRR30617159,SRR30617160,SRR30617161,SRR30617162,SRR30617163,SRR30617164,SRR30617165,SRR30617166,SRR30617167,SRR30617168,SRR30617169,SRR30633102,SRR30633103,SRR30633104,SRR30633105,SRR30633106,SRR30633107,SRR30633108,SRR30633109,SRR30633120,SRR30633121,SRR30633190,SRR30633191,SRR30633192,SRR30633193,SRR30633194,SRR30633195,SRR30633196,SRR30633197,SRR30633208,SRR30633209,SRR30633243,SRR30633244,SRR30633245,SRR30633246,SRR30633247,SRR30633248,SRR30633249,SRR30633250,SRR30633251,SRR30633252,SRR30633253,SRR30633254,SRR30633255,SRR30633266,SRR30633267,SRR30633297,SRR30633298,SRR30633299,SRR30633300,SRR30633301,SRR30633302,SRR30633303,SRR30633312,SRR30633313,SRR30663788,SRR30663789,SRR30663790,SRR30663791,SRR30663792,SRR30663793,SRR30663794,SRR30663795,SRR30663806,SRR30663807,SRR30663808,SRR30663809,SRR30663810,SRR30663811,SRR30663812,SRR30663813,SRR30663814,SRR30663815,SRR30663826,SRR30663827,SRR30663829,SRR30663830,SRR30663831,SRR30663832,SRR30663833,SRR30663834,SRR30663835,SRR30663845,SRR30663846,SRR30663862,SRR30663863,SRR30663864,SRR30663865,SRR30663866,SRR30663869,SRR30663870,SRR30663874,SRR30663875,SRR30663876,SRR30663877,SRR30663878,SRR30663883,SRR30663884,SRR30663908,SRR30663909,SRR30663910,SRR30663911,SRR30663912,SRR30663918,SRR30663919,SRR30663920,SRR30663921,SRR30663922,SRR30663923,SRR30663924,SRR30663925,SRR30663926,SRR30663927,SRR30663936,SRR30663937,SRR30664010,SRR30664011,SRR30664012,SRR30664013,SRR30664014,SRR30664015,SRR30664016,SRR30664017,SRR30664028,SRR30664029,SRR30688664,SRR30688665,SRR30688666,SRR30688667,SRR30688668,SRR30688669,SRR30688670,SRR30688680,SRR30688681
Bacillales,0.054372451,0.549182989,0.303368656,1.207729469,0.920204784,0.917325665,0.276282741,0.991637344,0.355966895,1.257144745,0.05274412,0.125702343,0.141311425,0.336423308,1.103813173,0.188014101,0.35216659,1.466289376,1.031029307,0.411679823,0.377963578,0.217484246,0.748674912,0.078512061,1.901261337,1.500994896,0.037646093,0.542488895,0.098592996,0.293784794,0.528593004,0.211609849,0.194420499,0.2330505,0.24841459,0.159922754,0.365742152,0.161625098,0.765429706,0.139180433,0.157991533,0.061687833,0.014163637,0.006577,0,0.047928586,0.046888432,0.065641143,0.072258686,0.060837119,0.012236158,0.052303209,0.489248611,0.424360592,0.498320269,1.705051533,0.983146067,0.619452663,0.362928677,0.013624349,0.523427607,0.449407599,0.534667127,0.531161473,0.84694085,0.391843263,0.132366483,2.280687682,0.036227509,0.049327038,0.043338286,0.00440044,0.045126354,0.023927261,0,0.013888889,0.006359907,0.034094783,0.287129125,0.149798098,0.133390501,0.202384457,0.110663984,0.488646163,0.774526678,0.040830909,0.079807044,0.027025105,0.024482959,0.773965889,0.176758334,1.127546175,0.23413183,0.101491931,0.165877621,0.045207297,0.375202032,0.431458988,0.705474823,0.198449326,0.300767843,0.218914186,0.030864198,1.037264695,4.138179201,0.205474141,0.0571056,0.257176355,0.191497511,0.039946073,0.135194242,0.06023416,0.066858327,0.092650928,0.163538984,0.001824518,0.005802685,0.000734225,0,0.003069839,0,0.008223992,0.763250883,0.75573157,0.74695294,0.820448551,0.09307438,0.000767896,0.004727946,0.055738253,0.11259744,0.061937125,0.124798959,0.053943898,0.069905129,0.019941836,0.195626541,0.004231312,0.063025533,0.139031485,0.046588965,0.179382204,0.17026005,0.066170547,0.10633109,0.014854672,0.082231087,0.052889577,0.035587189,0.26755153,0.540549657,0.232867598,0.44049512,0.080806661,0.266448551,0.436205824,0.015631388,0.039656514,0.036905476,0.375805418,0.176668559,1.810499402,0.095661039,0.226906352,0.50889541
Bacteroidales,0,0,0.040027809,0,0,0.005751258,0,0,0,0,0,0,0,0.001828388,0.009122423,0,0,0.011692898,0,0,0,0,0,0,0,0.017302535,0,0.058253841,0,0,0.006122699,0.034072772,0,0.001641201,0.006058892,0.033191515,0,0,0,0.020534818,0,0,0.004721212,0,0,0,0,0,0.003010779,0.004055808,0,0.003735944,0,0.011469205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003099526,0,0,0.019055786,0,0.010060362,0.068266743,0,0,0.092221473,0.549036342,0.032214419,0.100372476,0.002466395,0.009410476,0.011936133,0.032984878,0.060513295,0,0,0,0,0.004615101,0,0.018242849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016955516,0.00352669,0.029145597,0,0,0,0.012740172,0.000962371,0.001673976,0,0,0,0,0.002679816,0,0.016909289,0,0,0.000858288,0.004480528,0,0,0,0.012247183,0,0,0,0.003373165,0,0,0,0,0,0,0,0,0,0,0.004980741,0.000698256,0,0
Burkholderiales,0,0,0,0,0,0.002875629,0,0,0,0,0,0,0,0,0.018244846,0,0.035727045,0.00233858,0,0,0,0,0,0,0,0,0,0,0,0.001143131,0.006122699,0,0,0,0.006058892,0.015087052,0,0,0,0.006844939,0,0.00268208,0,0.0098655,0,0.002995537,0,0.019977739,0,0.008111616,0,0.022415661,0,0.068815231,0,0,0,0.009245562,0.010519672,0,0,0,0,0,0,0,0,0.106949012,0,0,0,0,0,0,0,0,0,0,0.012483875,0.026051843,0.109570768,0.029437739,0.046948357,0.028743892,0.016135972,0,0.010640939,0.005689496,0.001288577,0.033718879,0.012331977,0.074428314,0.003672656,0.006766129,0.002135763,0.081664795,0.023089356,0.009379543,0.025346401,0,0.010615336,0.010945709,0,0.307337687,0.004498021,0.003876871,0.005395805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000796261,0,0,0,0,0,0,0,0,0.004611624,0.000712982,0,0,0,0.025892823,1.002828992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001349391,0,0,0,0,0.002051998
Campylobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006122699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002604913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14906159,0.015993603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthoniobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0.001385406,0,0,0,0,0,0,0.004244122,0.077883404,0.026023756,0.022084806,0,0,0,0,0,0,0.001143131,0,0,0,0,0,0,0.017779132,0,0,0,0,0.00134104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005772339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002422217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01691501,0,0,0,0,0,0
Clostridiales,0,0,0,0,0,0.002875629,0,0,0.026697517,0.034691248,0,0,0.004156218,0,0.009122423,0,0.005103864,0,0.140259357,0,0,0,0.022084806,0,0,0,0.003422372,0,0.002054021,0.016003841,0,0.005379911,0,0.006564803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003735944,0,0.034407616,0,0.089069856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00704672,0,0,0,0,0,0,0,0,0.004161292,0,0,0,0.010060362,0.147312446,0.026893287,0,0.017734899,0.169262499,0.023194382,0.069006077,0,0.015398961,1.36163727,0.006766129,0.048410636,0.0014583,0,0,0,0,0,0,0,0,0.022490104,0,0.000674476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006055541,0.016928112,0.016758718,0,0,0,0,0.000962371,0,0,0,0,0,0.002679816,0,0.009223249,0.001425964,0.000803258,0,0.010753266,0,0,0,0.003499195,0,0.016310795,0.007473506,0,0,0,0.007026666,0,0,0,0,0,0,0.000799405,0,0.000698256,0.000677332,0.001025999
Corynebacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001828388,0.009122423,0,0,0,0.004921381,0,0,0,0,0,0,0,0,0,0,0,0,0.003586608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000855498,0,0.001691532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002116014,0.005829119,0,0,0,0.001592522,0.000962371,0,0,0,0,0,0,0.007052186,0,0.001425964,0.000803258,0.000858288,0,0,0.005853088,0.001650519,0,0.007739938,0,0,0,0,0,0,0,0,0,0,0.001537728,0,0,0,0,0,0
Enterobacteriales,0.070231083,0.722324424,0.37921082,1.224387806,1.231353164,0.212796549,0.082526014,1.837042453,0.226928896,0.234578914,0.032786885,6.029169001,0.106676272,0.20112263,1.578179164,0.087478783,0.990149543,1.562171137,1.592066734,0.555979968,0.350475318,0.096659665,2.014134276,0.170560684,1.560144908,2.353144736,0.135183696,0.53884803,0.293724967,0.196618617,0.65921058,0.294101824,0.447533978,0.625297468,0.482691764,0.491837905,0.335263639,0.382796284,0.379808158,0.308022269,0.108619179,0.706727997,0.089703036,0.947088033,0.43325326,0.578138574,0.023444216,2.180427524,0.240862287,2.717391304,0.05506271,0.354914634,0.102681807,2.041518523,0.397536394,0.76345591,0.737359551,0.758136095,0.752156533,0,0.160405234,0.013618412,0.022996436,0,0.027102107,0.199920032,0.230202578,3.109542526,0.036227509,0.140934395,0.253838534,0,0.018050542,7.943850694,0.003830537,0.142361111,0.041339396,0.254161113,0.345387208,0.358212844,1.19575056,0.165587283,0.083836351,0.222765162,1.108003442,0.510386362,0.015961409,0.002844748,0.007731461,1.776122329,0.244173141,0.743427638,1.119241964,0.254575595,0.328195636,0.0058332,0.075040406,0.018759086,0.080263603,0.027690604,0.024769116,0.229859895,0.18132716,0.816365732,0.098956459,0.062029929,0.013714337,0,0.191497511,0.039946073,0.003976301,0.003764635,0.003342916,0.007412074,0.008176949,0.001824518,0.002321074,0.003671126,0.826446281,0.005116398,0.321856169,0.026914882,0.565371025,0.386343543,0.658080352,0.284169569,0.006204959,0.001535792,0.001575982,0.652137562,0.145318064,0.235193679,0.271569567,0.070926237,0.335972609,0.014956377,0.050916497,0.064880113,0.164481269,0.284479808,1.359915819,2.509634283,0.343208416,1.4327362,0.979416642,0.004951557,0.005248793,0.025799794,0.028173191,0.263067426,0.304428122,0.116433799,0.154439567,0.134384991,1.264081496,0.529519803,0.149099392,0.064060522,0.055358214,1.044428702,0.005595837,2.757670341,0.049576159,1.717714951,2.703506864
Lactobacillales,0.002265519,0,0.027387448,0.166583375,0,0.031631919,0.002392058,0.004569757,0.031147103,0.009911785,0.012829651,0.012115888,0,0.018283875,0.082101806,0.001305653,0,0.014031477,0.113191762,0.008488244,0.016034818,0.050188672,0.019876325,0,0.10841685,0.038930703,0.003422372,0.003640865,0.016432166,0.004572526,0.020408996,0.003586608,0,0.003282401,0.010098154,0.007543526,0.025398761,0,0.038755935,0.022816464,0,0.006705199,0,0,0,0,0.002604913,0,0,0.004055808,0,0,0,0,0.011198208,0,0.070224719,0.17566568,0.005259836,0,0,0.013618412,0,0,0.35910292,0.023990404,0.023020258,0,0,0.00704672,0,0,0,0,0,0,0,0,0.016645167,0,0,0,0,0,0,0,0.008867449,0.001422374,0,0.014899039,0.217042792,0.029086927,0.041317382,0.014378024,0.035596056,0,0,0,0,0,0,0,0.003858025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000734225,0,0.00102328,0,0.000747636,0.078380983,1.150552871,0.086051236,1.033940048,0.034570484,0.001535792,0,0.002388782,0.00769897,0.011717835,0.00439433,0,0,0.00166182,0.004019723,0,0,0.00712982,0,0.002574864,0,0.001917987,0.000975515,0.001650519,0,0.00128999,0,0.001494701,0.005903038,0.029765031,0.012933363,0.003513333,0.043375345,0.030364073,0,0,0,0.010120433,0.003997026,0.07305087,0.016059882,0,0.099521885
Legionellales,0,0,0.010533634,0,0,0.034507549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036075036,0.025197572,0.014870718,0,0,0.013221567,0,0.003422372,0,0.008216083,0.002286263,0.008163599,0.008966519,0.009170778,0.008206004,0,0.009052231,0,0,0,0,0,0.005364159,0,0,0,0.01797322,0,0,0,0,0,0.056039153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177349,0.004267122,0.015462921,0.023524799,0,0.000855498,0.008263476,0.005920363,0.012102659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002422217,0,0,0,0,0,0.01035139,0.010586084,0.003347953,0.009667525,0.006992728,0.007133176,0.026589115,0.046896774,0,0.009223249,0.000712982,0.001606516,0.027465218,0.009857161,0.016302888,0.011706175,0.004951557,0,0,0,0,0.048067598,0,0,0,0,0.001481174,0,0,0,0,0,0.006640988,0,0.00270933,0
