,Group,variable,allmean,sd1,n1,se1,enrichment,max_mean,top,Stageord
15,Field_soil,Moraxella,0.038123438,0.037244494,60,0.004808244,Urban_soil,1.357274278,1,1
57,Urban_soil,Moraxella,1.357274278,2.580913799,18,0.608327216,Urban_soil,1.357274278,1,2
11,Field_soil,Enterobacter,0.11408473,0.200991858,60,0.025947937,Urban_soil,1.165140195,2,1
53,Urban_soil,Enterobacter,1.165140195,2.544585093,18,0.599764458,Urban_soil,1.165140195,2,2
12,Field_soil,Escherichia-Shigella,0.078588625,0.234545389,60,0.03027968,Urban_soil,1.12919939,3,1
54,Urban_soil,Escherichia-Shigella,1.12919939,2.011061608,18,0.474011767,Urban_soil,1.12919939,3,2
21,Field_soil,Prevotella_9,0.015248811,0.072742001,60,0.009390952,Urban_soil,1.050983919,4,1
63,Urban_soil,Prevotella_9,1.050983919,2.811964517,18,0.662786393,Urban_soil,1.050983919,4,2
34,Field_soil,Bacteroides,0,0,60,0,Urban_soil,0.711463643,5,1
76,Urban_soil,Bacteroides,0.711463643,2.180477913,18,0.513943573,Urban_soil,0.711463643,5,2
40,Field_soil,Prevotella_1,0,0,60,0,Urban_soil,0.290381539,6,1
82,Urban_soil,Prevotella_1,0.290381539,1.166168296,18,0.274868503,Urban_soil,0.290381539,6,2
8,Field_soil,Coprococcus_1,0,0,60,0,Urban_soil,0.219507018,8,1
50,Urban_soil,Coprococcus_1,0.219507018,0.684436205,18,0.161323161,Urban_soil,0.219507018,8,2
25,Field_soil,Roseburia,0.003717662,0.014499522,60,0.00187188,Urban_soil,0.180335137,10,1
67,Urban_soil,Roseburia,0.180335137,0.405858453,18,0.095661755,Urban_soil,0.180335137,10,2
38,Field_soil,Nocardia,0,0,60,0,Urban_soil,0.160451712,11,1
80,Urban_soil,Nocardia,0.160451712,0.677916186,18,0.159786377,Urban_soil,0.160451712,11,2
9,Field_soil,Coprococcus_2,0.001638658,0.007246567,60,0.000935528,Urban_soil,0.097772624,14,1
51,Urban_soil,Coprococcus_2,0.097772624,0.384967522,18,0.090737715,Urban_soil,0.097772624,14,2
37,Field_soil,Lachnoclostridium,0,0,60,0,Urban_soil,0.089719139,16,1
79,Urban_soil,Lachnoclostridium,0.089719139,0.287524935,18,0.067770277,Urban_soil,0.089719139,16,2
18,Field_soil,Prevotella,0.000101506,0.000498851,60,6.44E-05,Urban_soil,0.03008051,19,1
60,Urban_soil,Prevotella,0.03008051,0.024305409,18,0.00572884,Urban_soil,0.03008051,19,2
42,Field_soil,Proteus,0,0,60,0,Urban_soil,0.02815362,20,1
84,Urban_soil,Proteus,0.02815362,0.097721833,18,0.023033257,Urban_soil,0.02815362,20,2
17,Field_soil,Pantoea,0.260725519,0.403446356,60,0.052084701,Field_soil,0.260725519,7,1
59,Urban_soil,Pantoea,0,0,18,0,Field_soil,0.260725519,7,2
29,Field_soil,Staphylococcus,0.200465612,0.315049482,60,0.040672713,Field_soil,0.200465612,9,1
71,Urban_soil,Staphylococcus,0,0,18,0,Field_soil,0.200465612,9,2
23,Field_soil,Pseudomonas,0.156149807,0.660600027,60,0.085283097,Field_soil,0.156149807,12,1
65,Urban_soil,Pseudomonas,0,0,18,0,Field_soil,0.156149807,12,2
26,Field_soil,Roseomonas,0.144973607,0.260388791,60,0.033616048,Field_soil,0.144973607,13,1
68,Urban_soil,Roseomonas,0.002125536,0.009017885,18,0.002125536,Field_soil,0.144973607,13,2
30,Field_soil,Stenotrophomonas,0.088431696,0.135071341,60,0.017437635,Field_soil,0.088431696,15,1
72,Urban_soil,Stenotrophomonas,0.00230252,0.003033504,18,0.000715004,Field_soil,0.088431696,15,2
22,Field_soil,Propionibacterium,0.058976533,0.14200481,60,0.018332742,Field_soil,0.058976533,17,1
64,Urban_soil,Propionibacterium,0,0,18,0,Field_soil,0.058976533,17,2
31,Field_soil,Streptococcus,0.052127762,0.198117468,60,0.025576855,Field_soil,0.052127762,18,1
73,Urban_soil,Streptococcus,0,0,18,0,Field_soil,0.052127762,18,2
