,Group,variable,allmean,sd1,n1,se1,enrichment,max_mean,top,Stageord
8,Field_soil,Enterobacteriales,0.554058916,0.970846376,165,0.075580288,Urban_soil,2.322493204,1,1
26,Urban_soil,Enterobacteriales,2.322493204,4.226347936,18,0.996159762,Urban_soil,2.322493204,1,2
2,Field_soil,Bacteroidales,0.008474678,0.044857847,165,0.003492179,Urban_soil,2.096413043,2,1
20,Urban_soil,Bacteroidales,2.096413043,4.260157949,18,1.004128858,Urban_soil,2.096413043,2,2
14,Field_soil,Pseudomonadales,0.273632661,0.587240895,165,0.045716642,Urban_soil,1.425598194,3,1
32,Urban_soil,Pseudomonadales,1.425598194,2.579663337,18,0.60803248,Urban_soil,1.425598194,3,2
6,Field_soil,Clostridiales,0.014789326,0.10794213,165,0.008403283,Urban_soil,0.594910939,4,1
24,Urban_soil,Clostridiales,0.594910939,0.994068421,18,0.234304174,Urban_soil,0.594910939,4,2
16,Field_soil,Xanthomonadales,0.353498624,0.530068181,165,0.041265752,Field_soil,0.353498624,5,1
34,Urban_soil,Xanthomonadales,0.00230252,0.003033504,18,0.000715004,Field_soil,0.353498624,5,2
1,Field_soil,Bacillales,0.342731957,0.506380586,165,0.039421675,Field_soil,0.342731957,6,1
19,Urban_soil,Bacillales,0.004559752,0.01934539,18,0.004559752,Field_soil,0.342731957,6,2
13,Field_soil,Propionibacteriales,0.191463635,0.337323612,165,0.026260608,Field_soil,0.191463635,7,1
31,Urban_soil,Propionibacteriales,0,0,18,0,Field_soil,0.191463635,7,2
7,Field_soil,Corynebacteriales,0.000360163,0.001352857,165,0.00010532,Urban_soil,0.160451712,8,1
25,Urban_soil,Corynebacteriales,0.160451712,0.677916186,18,0.159786377,Urban_soil,0.160451712,8,2
15,Field_soil,Rhodospirillales,0.152594941,0.240492763,165,0.018722336,Field_soil,0.152594941,9,1
33,Urban_soil,Rhodospirillales,0.002125536,0.009017885,18,0.002125536,Field_soil,0.152594941,9,2
9,Field_soil,Lactobacillales,0.028983669,0.125375124,165,0.00976044,Field_soil,0.028983669,10,1
27,Urban_soil,Lactobacillales,0,0,18,0,Field_soil,0.028983669,10,2
