,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6
OTU_4,22.14462717,19.80561762,13.7764367,6.15370191,30.27671756,18.21107705,0.240270572,0.038488184,0.008943611,0.011864507,0.074083678,0.005637773,0.013718927,0,0.005691277,0.006958216,0.005648282,0.005304477
OTU_12,0.007509199,0.004112462,0.004096066,0.001562646,0.003180662,0.004576031,0,0.001539527,0.001490602,0.013347571,0,0.00422833,0,0.001391111,0.001422819,0,0,0.001768159
OTU_6,0.007509199,0.010966566,1.383105091,0.360971341,0.007951654,0.033557559,0,0,0.001490602,0.001483063,0,0.001409443,0.001371893,0,0,0,0,0
OTU_3,0.692348126,9.076203923,0.811021149,0.262524612,0.213104326,4.739242514,0.662657056,1.813563236,3.899414194,5.155128433,0.035189747,4.238195913,0.43763376,6.949989567,13.87817822,0.607104338,3.898726313,1.004314308
OTU_1,0.555680709,0.020562311,16.01425431,0.100009376,0.014312977,0.109824738,0.001530386,0.001539527,0.004471805,0.010381444,0.001852092,0.005637773,0.005487571,0.001391111,0,0.001739554,0.002824141,9.542754084
OTU_2,0,0,0,0,0,0,0.015303858,0.020013856,0.008943611,2.184552411,0.012964644,0.011275546,12.71881688,0.009737776,0,0.01739554,38.05953289,1.276610793
OTU_24,2.13111061,0.320772046,1.714886471,2.006438104,6.237277354,0.620814839,0.782027149,0.389500423,1.529357402,4.078424393,0.016668827,0.713178295,1.714865829,2.154830632,8.771680207,23.32046063,3.607839815,2.296838532
OTU_10,0.00150184,0,0,0,0,0,0.039790031,0.001539527,0,0.007415317,0.007408368,0.002818887,0,0.001391111,0.001422819,0,0,0
OTU_44,0.00300368,0,0.001365355,0,0.001590331,0,0,0.001539527,0.001490602,0.019279824,0.001852092,0.005637773,0,0.001391111,0,0.006958216,0,0
OTU_9,0.00150184,0.001370821,0.001365355,0,0.003180662,0.001525344,0,0,0.001490602,0.002966127,0,0.001409443,0,0,0,0.001739554,0.00141207,0
OTU_8,0.00300368,0.002741641,0.001365355,0,0.001590331,0.001525344,3.780052951,3.445462243,4.547825957,3.634988432,0.144463171,2.035236082,25.01646271,0.008346665,0.012805373,0.006958216,0.009884493,0.024754226
OTU_830,0.00300368,0,0.001365355,0.001562646,0.001590331,0.001525344,0,0.004618582,0,0.007415317,0,0.007047216,0.001371893,0,0,0.001739554,0,0.001768159
OTU_7,0.057069911,0.566148953,8.854330225,4.436353408,9.623091603,0.062539087,0.581546608,0.294049727,0.530654225,0.361867473,0.038893931,0.845665962,2.300663996,2.746052723,2.154148229,0.00869777,1.080233839,0.010608954
OTU_311,0,0,0.001365355,0,0.001590331,0,0.003060772,0,1.320673156,0.017796761,0,0.001409443,0,0.001391111,0.002845638,0.001739554,0.00141207,0.003536318
OTU_19,0,0,0,0,0,0,0,0,0,0,0.037041839,0,0.010975141,0.001391111,0.012805373,40.94214243,0,0
OTU_11,0,0.009595745,0,0,0,0,0,0,0,0.010381444,0,0.001409443,0.001371893,0,0.001422819,0.001739554,0,0
OTU_35,0,0,0,0.032815576,0.004770992,0.010677405,0.055093889,0.001539527,0,0.00444919,0.003704184,0,0.001371893,0,0,0,0,0.001768159
OTU_18,0,0,0,0,0,0,4.470256952,1.462550997,0.985287761,1.073737913,0.062971126,0.549682875,22.16018219,0.004173332,0.005691277,0.00869777,0.004236211,0.012377113
OTU_15,0.00300368,0,2.64059748,0.001562646,0,0.001525344,0.007651929,0.007697637,0.008943611,0,0.007408368,0,0,26.05828754,0,0,0.008472422,0.012377113
OTU_16,0.889089134,0.77177206,0.002730711,2.528362034,0.007951654,0.036608246,0.001530386,0.004618582,0.007453009,4.317197603,0.011112552,0.00845666,9.142292707,0.006955554,0.005691277,0.006958216,9.016069361,3.051842422
OTU_13,0,0,0,0,0,0.003050687,0.001530386,0,0,0.00444919,0.003704184,0,0,0,0.001422819,0.003479108,0,0
OTU_54,0.00300368,3.958930212,0.010922844,0.012501172,11.3947201,8.349730777,0.656535513,0.178585174,0.026830832,0.00444919,0.029633471,3.681465821,0.012347034,0.005564443,0.012805373,0.02609331,0.004236211,0.014145272
OTU_31,0.00300368,0.004112462,0.001365355,0.004687939,0,0.004576031,0.153038581,0,0.002981204,0.007415317,0,0,0,0,0.001422819,0,0,0
OTU_62,0.145678456,6.319483475,8.123865048,5.317686033,0.163804071,0.006101374,0.479010759,0.043106766,0.047699256,0.072670107,0.04815439,0.023960536,0.012347034,0.022257773,0.005691277,0.022614202,0.042362111,0.076030837
OTU_60,0.018022077,7.273574689,0.068267774,0.734443854,0.011132316,7.320123858,0.007651929,0.004618582,0,1.707005992,0.014816736,0.00422833,0.598145201,0.001391111,0,0.005218662,5.967409416,0.694886484
OTU_14,0,0,0.001365355,0,0,0,0.006121543,0.009237164,0.004471805,0.001483063,0.005556276,0,0.023322175,0.004173332,0,0.001739554,0.014120704,29.72275267
OTU_17,0,0,0,0,0,0,0.001530386,0,0,0,0.001852092,0,0.001371893,0,0,0.001739554,0,0
OTU_26,5.217391304,4.049404378,3.517155691,5.952120511,0.014312977,0.016778779,0.370353366,0.124701717,0.232533874,0.129026517,0.074083678,0.093023256,0.104263842,0.073728873,0.071140959,0.132206102,0.064955237,0.08840795
OTU_20,0.00150184,0,0,0,0,0.001525344,0,0,0,0.002966127,0,0.001409443,0,0.001391111,0.001422819,0,0,0
OTU_25,0.00300368,0.008224924,0.001365355,0.145326124,0.004770992,0.003050687,0.030607716,0.016934801,0.11924814,0.176484546,0.020373011,0.009866103,1.167480656,0.009737776,0.007114096,0.006958216,19.28323308,0.258151213
OTU_212,0.00150184,0,0,0,0,0.003050687,0.396369925,0.006158109,0,0.005932254,0,0.002818887,0,0.004173332,0,0.005218662,0,0
OTU_22,0.00150184,0,0,0,0,0,0.003060772,0.799014702,0.184834618,0,0.003704184,0.225510923,0.299072601,0.004173332,3.989584964,11.63935567,0.135558756,7.044345428
OTU_23,0,0,0,0,0,0,0.009182315,0.003079055,0.005962407,0.00444919,0.001852092,0,0.009603249,0.001391111,0,0,0.008472422,24.82495226
OTU_33,0,0.001370821,0,0,0,0,0.007651929,0.016934801,0.064095876,0.010381444,1.963217454,0.00422833,0.005487571,16.86721847,0.008536915,0.012176878,0.009884493,0.005304477
OTU_1515,1.838251859,0.159015202,5.884682077,2.747132544,0.014312977,0.009152062,0.942717659,0.197059503,0.138625963,0.034110459,0.00926046,0.042283298,0.009603249,0.006955554,0.001422819,0.055665727,0.014120704,0.010608954
OTU_27,7.220845536,3.551796461,0.002730711,3.486264337,0.006361323,2.876797999,0.003060772,0.084674005,0.005962407,0,0,0.132487667,0,0,0.001422819,0.003479108,0,0.001768159
OTU_28,0.006007359,4.559349683,0,0,0,0,0.353519122,0.223231468,1.544263419,0.084534615,1.540940492,0.876673714,0.006859463,0.001391111,7.970633012,0.013916432,0,0
OTU_36,14.13081024,0.008224924,0.013653555,0.021877051,0.009541985,3.35423054,0.067336976,0.003079055,0.001490602,0.002966127,0.022225103,0,0,0.001391111,0.002845638,0,0,0
OTU_82,0,0.002741641,0,0.004687939,0,0,0,0,0.001490602,0.005932254,0,0.001409443,0,0,0.001422819,0.001739554,0.00141207,0.001768159
OTU_45,0.006007359,8.601899958,0.005461422,0.003125293,0.004770992,7.368934853,0.001530386,0.003079055,0,0,0,0.023960536,0,0,0,0.001739554,0.002824141,0
OTU_29,0,0,0,0,0,0,0,0,0.001490602,0.00444919,0,0.002818887,0.001371893,0,0,0,0,0.003536318
OTU_40,0.007509199,0.004112462,0.009557488,0.001562646,0.001590331,0.003050687,0,0,0,0,0,0,0.004115678,0,0.004268458,18.79066207,0,0
OTU_38,0,0,0,0,0,0,0.006121543,0.003079055,0.004471805,0,0.005556276,0,0,14.8612367,0,0,0.007060352,0.007072636
OTU_34,0,0,0,0,0,0,2.557274689,3.707181895,1.338560377,2.194933855,2.239179153,3.713883016,0.005487571,0.004173332,0.196349046,0.010437324,0.012708633,0.003536318
OTU_39,0,0,0,0,0,0,0.006121543,0,0.001490602,0.002966127,0.005556276,0.001409443,0.002743785,0,0,0,0,0.003536318
OTU_1603,0.00300368,0.002741641,0,0,0,0,0,0,0,0.007415317,0,0.085976039,0,0,0,0,0,0.001768159
OTU_55,0.007509199,1.172051707,0.006826777,0.148451417,0.011132316,0.003050687,0.001530386,0.001539527,0,0.001483063,0.038893931,0.001409443,0,0.001391111,0,0,0,0
OTU_41,0,0,0,0,0,0,0.003060772,0.004618582,0.004471805,0,0.003704184,0,0,14.09890798,0,0,0.00141207,0.003536318
OTU_46,0.006007359,7.878106622,0.009557488,6.424039754,0,0,0.035198874,0,0.005962407,0.002966127,0.003704184,0.007047216,0,0.002782222,0.001422819,0.001739554,0.004236211,0.005304477
OTU_80,0,0.001370821,0,0,0,0,3.989715807,3.848818413,2.866427177,0.388562615,1.868760765,1.806906272,0.009603249,0.009737776,0.012805373,0.003479108,0.007060352,0.005304477
OTU_151,0.007509199,0.342705178,0.009557488,2.484607932,11.71119593,0.013728092,0.211193242,0.006158109,0.005962407,0,0.005556276,0,0.002743785,0.004173332,0,0,0.005648282,0.003536318
OTU_83,2.339866336,0.016449849,0.005461422,0.012501172,11.86068702,0.02135481,0.174463982,0.053883458,0.028321433,0.088983805,0.027781379,0.001409443,0.006859463,0.015302219,0.001422819,0.00869777,0.021181056,0.028290544
OTU_52,0.006007359,3.70532838,0.008192133,0.007813232,0,0.004576031,1.163093216,1.42560234,1.095592291,0.468648039,2.339192117,3.03030303,0.305932064,0.041733324,0.039838937,0.073061267,0.03671383,0.067190042
OTU_30,0,0.001370821,0,0,0,0,0,0,0,0.00444919,0,0,13.24150798,0,0.002845638,0.006958216,0,0.003536318
OTU_73,6.941503342,0.005483283,0.005461422,6.547488827,0.003180662,0.003050687,0.085701605,0.252482488,0.062605274,0.210595005,0.175948734,0.029598309,0.002743785,0,0.001422819,0.001739554,0,0.003536318
OTU_49,0,0,0,0,0,0,0.234149029,0.001539527,0.028321433,0.001483063,0.005556276,0.002818887,0.001371893,0,0,0.003479108,0,0.001768159
OTU_37,0.00150184,0.008224924,4.235332669,8.485170485,0.003180662,0.004576031,0.004591157,0.001539527,0.002981204,0.001483063,0.001852092,0.032417195,0.002743785,0.004173332,0.002845638,0.003479108,0.00141207,0.008840795
OTU_47,0,0,0,0,0,0,0,0,0,0,0.003704184,0,0,0,0,0,0,0
