,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_4,0.009743107,0.346097077,0.09199632,0.276890644,0.334964821,0.197371588,0.006986533,0.009100672,0.00488035,0.010126582,0.001560817,0.009900337,0.067975464,0.003264294,0.011367142,0.023701095,0.018951467,0.027242389
OTU_12,12.76671755,12.78184008,13.52533654,10.87897047,11.54175589,10.35478746,1.935269768,3.480096831,1.491760342,3.794092827,4.123679158,3.968384925,0.294560344,0.659387292,0.420584271,0.506187679,0.408317971,0.616359055
OTU_6,9.168263454,19.5001951,8.225222012,20.01636172,7.372285102,13.78712752,1.376347091,1.263173222,1.421808658,1.048101266,1.140957405,1.037885288,0.05179083,0.33785438,0.185122034,0.650087186,0.425546578,0.430770279
OTU_3,0.012990809,0.028841423,0.827966881,0.012585938,0.071887427,0.17972047,0.124010969,0.040042955,0.068324901,0.055696203,0.020290624,0.042901459,0.033987732,0.014689321,0.066578977,0.011850548,0.186068949,0.042566233
OTU_1,3.734857588,0.90765655,3.537164636,1.330962982,1.714591618,0.499045235,7.517509999,4.217251233,5.034894503,0.948523207,1.108180243,2.351329945,0.140806318,0.285625683,1.495591173,0.883712269,1.843460882,2.082340121
OTU_2,0.001623851,0,0,0,0,0,0.143223936,0.009100672,0.032535667,0.006751055,0.018729807,0.008250281,0.375483516,0.112618127,0.467676718,0.954815555,0.690867116,0.609548457
OTU_24,0.016238511,0.005089663,0.035672043,0.048770511,0.042826552,0.093069529,0.003493267,0.001820134,0.00488035,0.011814346,0.004682452,0.008250281,0,0,0,0,0,0
OTU_10,0.438439804,0.317255654,0.364230329,0.239132829,0.324258183,0.314510823,3.884512602,2.935876668,5.574986579,4.774683544,5.106994022,3.52616989,2.524802952,5.421991545,8.900472548,5.275186646,2.158744379,7.461009331
OTU_44,6.539248482,6.199209406,6.916621294,6.115192801,5.929947996,4.050129174,2.754440815,2.539087385,3.069740203,3.142616034,2.971796032,2.676390997,0.129477074,0.576147807,1.154576899,0.783829081,0.079251589,0.289450385
OTU_9,4.73352603,4.718117503,5.761973603,5.437125372,5.555215662,5.550474173,1.861911166,3.627527712,2.181516487,3.203375527,3.332344816,3.479968319,0.022658488,0.17627185,0.165635504,0.275948467,0.005168582,0.097051011
