,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6
OTU_617,0,0.001370821,0.001365355,0,0.001590331,0.003050687,0.001530386,0.381802787,0,0,0,0,0,0,0,0,0,0
OTU_1359,0,0,0,0,0,0,0.015303858,0.016934801,0.016396619,0.011864507,0.00926046,0,0,0.006955554,0,0,0.004236211,0.010608954
OTU_184,0,0,0,0,0,0,0,0.001539527,0.001490602,0.001483063,0.001852092,0,0,2.876817138,0,0,0.00141207,0.003536318
OTU_843,0,0,0,0,0,0,0,0,0,0,0,0.184637068,0,0,0,0,0,0
OTU_37,0.00150184,0.008224924,4.235332669,8.485170485,0.003180662,0.004576031,0.004591157,0.001539527,0.002981204,0.001483063,0.001852092,0.032417195,0.002743785,0.004173332,0.002845638,0.003479108,0.00141207,0.008840795
OTU_1388,0,0,0,0,0,0,0.016834244,0.012316219,0.014906018,0.00889838,0.016668827,0.00845666,0.027437853,0.009737776,0.012805373,0.02609331,0.012708633,0.015913431
OTU_1121,0,0,0,0,0,0,0.015303858,0.033869602,0.041736849,0,0.024077195,0.002818887,0.008231356,0.022257773,0.012805373,0.005218662,0.024005196,0.040667657
OTU_1748,0,0,0,0,0,0,0.001530386,0.004618582,0.004471805,0.001483063,0.001852092,0,0.002743785,0.004173332,0.004268458,0.005218662,0.002824141,0.003536318
OTU_1395,0,0,0,0,0,0,0.004591157,0.004618582,0.002981204,0.007415317,0.003704184,0.031007752,0.010975141,0.005564443,0.002845638,0.003479108,0.008472422,0.005304477
OTU_95,0,0,0,0,4.957061069,0,0.003060772,0,0,0,0.003704184,0,0.004115678,0.002782222,0,0.001739554,0.00141207,0
OTU_703,0,0,0,0,0,0,0,0.001539527,0,0,0,0,0.249684465,0,0,0,0,0.001768159
OTU_1578,0,0,0,0,0,0,0.007651929,0.006158109,0.001490602,0.043008839,0.001852092,0,0,0,0,0,0,0.001768159
OTU_1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_985,0.00150184,0,0,0,0,0,0.01836463,0.015395274,0.010434212,0.017796761,0.011112552,0.007047216,0.016462712,0.006955554,0.025610745,0.027832864,0.008472422,0.014145272
OTU_1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_83,2.339866336,0.016449849,0.005461422,0.012501172,11.86068702,0.02135481,0.174463982,0.053883458,0.028321433,0.088983805,0.027781379,0.001409443,0.006859463,0.015302219,0.001422819,0.00869777,0.021181056,0.028290544
OTU_355,0,0,0,0,0,0,0.081110448,0.069278731,0.147569574,0.047458029,0.087048321,0.016913319,0.076825989,0.52027544,0.065449682,0.111331455,0.049422463,0.093712427
OTU_1423,0,0.004112462,0.002730711,0,0.003180662,0,0,0.001539527,0,0,0,0.001409443,0,0,0,0,0.00141207,0
OTU_193,0,0,0,0,0,0,0,0.001539527,0,0,0,0,0,0,0,0,2.661752662,0
OTU_1284,0,0,0,0,0,0,0.001530386,0,0.016396619,0.019279824,0.003704184,0.007047216,0.015090819,0.01808444,0.005691277,0.020874648,0.014120704,0.038899498
OTU_1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082075537,0,0,0,0
OTU_1741,0,0,0,0,0,0,0.033668488,0,0,0,0.001852092,0.001409443,0,0,0.001422819,0.001739554,0.002824141,0
OTU_1570,0,0,0,0,0,0,0.055093889,0,0.002981204,0.002966127,0,0.001409443,0,0,0,0,0,0.001768159
OTU_1571,0,0,0,0,0,0,0,0.02925102,0,0,0,0,0,0,0,0,0,0
OTU_938,0,0,0,0,0,0,0.224966714,0.001539527,0,0.001483063,0.001852092,0,0,0,0,0.001739554,0,0
OTU_201,0,0,0,0,0,0,0.013773472,0.001539527,2.231430829,0.002966127,0.127794344,0.022551092,0,0.001391111,0,0,0,0
OTU_1092,0,0,0,0,0,0,0.004591157,0.004618582,0.001490602,0.002966127,0.083344137,0,0,0.001391111,0,0,0,0.003536318
OTU_1018,0,0,0,0.001562646,0,0,0.217314785,0.018474328,0.672261392,0.00889838,0.196321745,0.07751938,0.001371893,0.006955554,0.002845638,0.005218662,0.005648282,0.001768159
OTU_454,0,0,0,0,0,0,0.104066235,0.001539527,0.001490602,0.002966127,1.637249273,0,0.001371893,0.001391111,0.002845638,0.005218662,0,0.001768159
OTU_263,0,0,0,0,0.003180662,0,0.097944692,0.223231468,0.020868425,0.016313698,0.016668827,1.220577872,0.001371893,0.001391111,0.004268458,0.003479108,0.005648282,0
OTU_939,0,0,0,0,0,0,0.154568967,0.001539527,0.001490602,0.001483063,0.011112552,0,0,0.001391111,0,0,0,0
OTU_737,0,0,0,0,0,0,0,0,0.001490602,0.001483063,0.35374956,0,0.001371893,0,0,0,0,0.003536318
OTU_1621,0,0,0,0,0,0,0.021425401,0,0,0.011864507,0.001852092,0,0,0,0,0,0,0
OTU_1123,0,0,0,0,0,0,0,0.086213532,0,0,0,0,0,0,0,0,0,0
OTU_659,0,0,0.001365355,0,0,0,0.111718164,0.069278731,0,0.157204722,0.003704184,0.00422833,0.001371893,0.002782222,0.001422819,0,0.00141207,0
OTU_946,0,0,0,0,0,0,0,0,0,0,0.294482618,0,0.001371893,0,0,0.001739554,0,0
OTU_288,0.00150184,0.001370821,0,0,0.001590331,0,0.091823149,0.02309291,0.053661663,1.416325562,0.155575723,0.001409443,0.019206497,0.012519997,0.076832235,0.020874648,0.035301759,0.028290544
OTU_1828,0,0,0,0,0,0,0.038259645,0,0,0,0,0,0,0,0,0,0,0
OTU_1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1502,0,0,0,0,0,0,0,0,0.001490602,0,0,0,0,0.001391111,0,0,0,0
OTU_674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_446,0.021025757,0.001370821,0.001365355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_861,0,0,0,0,0,0,0.006121543,0.006158109,0.004471805,0.026695141,0.007408368,0,0.028809746,0.005564443,0.007114096,0.01739554,0.005648282,0.012377113
OTU_1844,0,0,0,0,0,0,0,0.001539527,0.001490602,0,0,0,0.001371893,0.001391111,0.001422819,0.003479108,0.004236211,0.001768159
OTU_62,0.145678456,6.319483475,8.123865048,5.317686033,0.163804071,0.006101374,0.479010759,0.043106766,0.047699256,0.072670107,0.04815439,0.023960536,0.012347034,0.022257773,0.005691277,0.022614202,0.042362111,0.076030837
OTU_26,5.217391304,4.049404378,3.517155691,5.952120511,0.014312977,0.016778779,0.370353366,0.124701717,0.232533874,0.129026517,0.074083678,0.093023256,0.104263842,0.073728873,0.071140959,0.132206102,0.064955237,0.08840795
OTU_576,0,0,0,0,0,0,0.413204169,0,0.07602069,0.007415317,0.005556276,0.001409443,0,0.001391111,0,0,0,0.001768159
OTU_1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1241,0,0,0,0,0,0,0,0,0,0.001483063,0.001852092,0,0,0.001391111,0,0,0,0
OTU_1622,0,0,0,0,0,0,0.013773472,0,0.017887221,0,0,0,0,0,0,0,0,0
OTU_1333,0,0,0,0,0,0,0,0,0.061114672,0,0.005556276,0,0,0,0,0,0,0
OTU_729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_432,0,0,0,1.228240148,0.001590331,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_60,0.018022077,7.273574689,0.068267774,0.734443854,0.011132316,7.320123858,0.007651929,0.004618582,0,1.707005992,0.014816736,0.00422833,0.598145201,0.001391111,0,0.005218662,5.967409416,0.694886484
OTU_928,0,0,0,0,0,0.001525344,0.001530386,0,0,0,0.003704184,0.005637773,0,0.002782222,0.004268458,0.003479108,0.00141207,0.001768159
OTU_857,0,0,0,0,0.001590331,0.010677405,0.001530386,0.001539527,0,0,0,0,0,0,0,0,0,0
