row,Elongation,Seedling,Tillering,MeanDecreaseAccuracy,MeanDecreaseGini,Order,top,Group
OTU833,1.71058925,2.326950276,1.001001503,2.386554144,0.084166667,Clostridiales,1,Tillering
OTU319,1.84453388,2.515773027,0,2.572756907,0.082266667,Bacteroidales,2,Tillering
OTU252,-1.001001503,1.402752094,0,0.878988404,0.071785714,Clostridiales,3,Tillering
OTU1239,2.147931598,2.498265695,0,2.488566782,0.07052381,Clostridiales,4,Tillering
OTU118,1.001001503,1.266939792,1.001001503,1.637365307,0.06652381,Bacteroidales,5,Tillering
OTU177,1.637365307,2.202084165,0,2.008048322,0.06597619,Bacteroidales,6,Tillering
OTU8,1.001001503,2.187998624,1.001001503,2.16675695,0.065666667,Bacteroidales,7,Elongation
OTU80,1.001001503,1.702664148,1.001001503,1.635939712,0.064428571,Bacteroidales,8,Tillering
OTU718,1.001001503,1.402752094,0,1.309934291,0.059906349,Bacteroidales,9,Tillering
OTU63,1.637365307,1.79460634,0,1.894527984,0.057857143,Bacteroidales,10,Tillering
OTU1746,1.671315676,2.173858667,0,2.194500781,0.056698413,Clostridiales,11,Elongation
OTU233,1.904234223,2.022215143,0,2.154492988,0.05527619,Lactobacillales,12,Tillering
OTU745,0,1.417050503,1.001001503,1.34406228,0.053866667,Clostridiales,13,Tillering
OTU182,1.001001503,1.001001503,0,1.001001503,0.053809524,Bacteroidales,14,Tillering
OTU662,1.84453388,1.72005229,0,1.919398171,0.053152381,Bacteroidales,15,Tillering
OTU282,1.84453388,2.022215143,0,2.124468778,0.05152381,Bacteroidales,16,Tillering
OTU637,1.001001503,1.34406228,0,1.389425036,0.050828571,Clostridiales,17,Tillering
OTU156,1.266939792,1.637365307,0,1.677706217,0.050219048,Clostridiales,18,Tillering
OTU1172,1.417050503,1.73727046,-1.417050503,1.408348959,0.049742857,Rhodobacterales,19,Elongation
OTU22,1.417050503,0,0,1.408348959,0.049533333,Rhodospirillales,20,Elongation
OTU1520,1.266939792,1.983415208,0,1.876006856,0.049380952,Clostridiales,21,Elongation
OTU1518,-1.001001503,1.001001503,0,0,0.048761905,Bacteroidales,22,Elongation
OTU1684,0,1.001001503,1.001001503,1.417050503,0.048631746,Clostridiales,23,Elongation
OTU678,1.266939792,2.193296052,0,2.054021248,0.048174603,Clostridiales,24,Elongation
OTU1052,1.001001503,1.417050503,0,1.411207742,0.04752381,Bacteroidales,25,Elongation
OTU1387,1.73727046,1.510994713,0,1.809736051,0.047095238,Clostridiales,26,Elongation
OTU220,1.001001503,1.510994713,1.001001503,1.559204385,0.044533333,Bacteroidales,27,Elongation
OTU778,1.001001503,1.510994713,-1.417050503,0.653031673,0.044438095,Bacteroidales,28,Elongation
