row,Elongation,Seedling,Tillering,MeanDecreaseAccuracy,MeanDecreaseGini,Order,top,Group
OTU500,1.671315676,1.936837568,0,1.914572841,0.072419048,Rhodospirillales,1,Tillering
OTU313,2.224521354,2.173858667,1.417050503,2.433300301,0.060619048,Unassigned,2,Seedling
OTU90,1.417050503,1.896608105,1.417050503,1.982648436,0.058466667,Rhizobiales,3,Tillering
OTU1208,1.671315676,1.71058925,-1.001001503,1.632639179,0.054904762,Bacillales,4,Elongation
OTU392,1.34406228,1.389425036,1.001001503,1.632639179,0.049333333,Xanthomonadales,5,Seedling
OTU9,1.637365307,2.201482831,0,2.143772526,0.048390476,Unassigned,6,Seedling
OTU1358,1.417050503,2.120044374,1.001001503,2.128378156,0.04767619,Clostridiales,7,Tillering
OTU17,1.266939792,1.637365307,1.417050503,1.575323471,0.045333333,Rhodobacterales,8,Elongation
OTU188,1.671315676,1.917052779,0,1.878790713,0.045047619,Bacteroidales,9,Elongation
OTU903,0,1.001001503,1.001001503,1.001001503,0.044333333,Burkholderiales,10,Seedling
OTU426,1.001001503,1.417050503,1.001001503,1.411207742,0.042047619,Desulfuromonadales,11,Tillering
OTU972,1.001001503,0,0,1.001001503,0.041666667,Spirochaetales,12,Elongation
OTU1735,1.001001503,1.001001503,0,1.001001503,0.041142857,Acidobacteriales,13,Seedling
OTU558,2.085897421,1.84453388,0,2.154695561,0.038485714,Methylophilales,14,Tillering
OTU1095,1.34406228,1.72005229,0,1.637365307,0.03847619,Unassigned,15,Seedling
OTU748,1.575323471,1.671315676,0,1.72005229,0.038133333,Fusobacteriales,16,Elongation
OTU35,1.575323471,1.637365307,1.001001503,1.907618984,0.03747619,Rhizobiales,17,Seedling
OTU497,1.34406228,1.637365307,1.001001503,1.73727046,0.037,Rhodospirillales,18,Seedling
OTU170,1.001001503,1.417050503,0,1.380621367,0.036533333,Gaiellales,19,Tillering
OTU117,1.34406228,1.565161932,1.001001503,1.714425673,0.035666667,Sphingobacteriales,20,Seedling
OTU740,1.34406228,1.575323471,0,1.71058925,0.035609524,Rhodospirillales,21,Seedling
OTU400,1.637365307,1.791408695,0,1.874557158,0.034952381,Sphingobacteriales,22,Seedling
OTU547,1.417050503,1.671315676,0,1.650698587,0.034514286,Propionibacteriales,23,Seedling
OTU168,1.001001503,1.001001503,0,1.001001503,0.034333333,Sphingobacteriales,24,Seedling
OTU969,0,1.266939792,0,1.402752094,0.03387619,Oceanospirillales,25,Seedling
OTU368,1.001001503,1.34406228,1.417050503,1.580252203,0.033133333,Rhizobiales,26,Seedling
OTU554,1.001001503,1.001001503,0,1.001001503,0.032914286,Rhodospirillales,27,Seedling
OTU1328,1.001001503,1.266939792,0,1.389425036,0.03272381,Xanthomonadales,28,Seedling
OTU57,1.001001503,0,0,1.001001503,0.031819048,Rhodospirillales,29,Seedling
OTU1886,1.001001503,1.73727046,0,1.194819591,0.030866667,Rhodospirillales,30,Seedling
