Newid,ORG,Group,Development,TimeGrowth,ORG2
DS1_L_1,L,Seedling,21,Seedling_L,L
DS1_L_2,L,Seedling,21,Seedling_L,L
DS1_L_3,L,Seedling,21,Seedling_L,L
DS1_L_4,L,Seedling,21,Seedling_L,L
DS1_L_5,L,Seedling,21,Seedling_L,L
DS1_L_6,L,Seedling,21,Seedling_L,L
DS1_R_1,R,Seedling,21,Seedling_R,R
DS1_R_2,R,Seedling,21,Seedling_R,R
DS1_R_3,R,Seedling,21,Seedling_R,R
DS1_R_4,R,Seedling,21,Seedling_R,R
DS1_R_5,R,Seedling,21,Seedling_R,R
DS1_R_6,R,Seedling,21,Seedling_R,R
DS2_L_1,L,Tillering,42,Tillering_L,L
DS2_L_2,L,Tillering,42,Tillering_L,L
DS2_L_3,L,Tillering,42,Tillering_L,L
DS2_L_4,L,Tillering,42,Tillering_L,L
DS2_L_5,L,Tillering,42,Tillering_L,L
DS2_L_6,L,Tillering,42,Tillering_L,L
DS2_R_1,R,Tillering,42,Tillering_R,R
DS2_R_2,R,Tillering,42,Tillering_R,R
DS2_R_3,R,Tillering,42,Tillering_R,R
DS2_R_4,R,Tillering,42,Tillering_R,R
DS2_R_5,R,Tillering,42,Tillering_R,R
DS2_R_6,R,Tillering,42,Tillering_R,R
DS3_L_1,L,Elongation,63,Elongation_L,L
DS3_L_2,L,Elongation,63,Elongation_L,L
DS3_L_3,L,Elongation,63,Elongation_L,L
DS3_L_4,L,Elongation,63,Elongation_L,L
DS3_L_5,L,Elongation,63,Elongation_L,L
DS3_L_6,L,Elongation,63,Elongation_L,L
DS3_R_1,R,Elongation,63,Elongation_R,R
DS3_R_2,R,Elongation,63,Elongation_R,R
DS3_R_3,R,Elongation,63,Elongation_R,R
DS3_R_4,R,Elongation,63,Elongation_R,R
DS3_R_5,R,Elongation,63,Elongation_R,R
DS3_R_6,R,Elongation,63,Elongation_R,R
